multiplier,Root_mean_square_error,mean_relative_error,max_relative_error,max_absolute_error
1.0, 169.73, 27.92, 73.83, 336.72
1.1, 130.96, 23.04, 91.21, 270.15
1.2, 93.24, 19.03, 108.60, 203.58
1.3, 58.66, 15.58, 125.98, 137.01
1.4, 37.31, 14.91, 143.36, 74.57
1.5, 50.47, 18.77, 160.74, 106.37
1.6, 83.10, 25.89, 178.13, 151.73
1.7, 120.28, 33.44, 195.51, 197.08
1.8, 158.85, 41.29, 212.89, 243.90
