multiplier,Root_mean_square_error,mean_relative_error,max_relative_error,max_absolute_error
1.0, 77.44, 18.34, 53.32, 159.50
1.1, 45.21, 10.65, 48.65, 111.22
1.2, 28.69, 6.65, 56.21, 71.62
1.3, 48.32, 9.55, 69.23, 132.84
1.4, 81.12, 16.14, 82.25, 194.05
1.5, 116.44, 23.77, 95.26, 255.26
1.6, 152.54, 31.76, 108.28, 316.48
1.7, 188.98, 39.82, 121.30, 378.39
1.8, 225.59, 47.95, 134.32, 440.82
