id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILW,BOOL_WATER,start,end,cost
82,"7","4",64,2118156.643010217696428,7034310.800817165523767,"1","1","1","19.0277248658, 53.2765171485","18.4633480093, 54.2213179507",175904.154228798
83,"7","5",65,2107820.328548205550760,6951831.737168262712657,"1","1","1","18.9348721731, 52.8311805468","18.4633480093, 54.2213179507",234162.471050792
84,"7","6",66,2097738.573769476264715,6870173.228937526233494,"1","1","0","18.844306229, 52.3857304437","18.4633480093, 54.2213179507",283975.618883678
85,"7","7",67,2087902.437183888396248,6789313.449814243242145,"1","1","0","18.7559467107, 51.9401633861","18.4633480093, 54.2213179507",313256.925644271
86,"7","8",68,2078303.394312302814797,6709231.285482605919242,"1","1","0","18.6697170415, 51.4944757579","18.4633480093, 54.2213179507",438813.830954291
87,"7","9",69,2068933.313873541308567,6629906.302164760418236,"1","1","0","18.5855441768, 51.0486637896","18.4633480093, 54.2213179507",486849.469268981
88,"7","10",70,2059784.435577824013308,6551318.716800814494491,"1","1","0","18.5033584047, 50.6027235658","18.4633480093, 54.2213179507",544273.307819974
89,"7","11",71,2051539.694951986428350,6475296.193539426662028,"1","1","0","18.4292946395, 50.1672791099","18.4633480093, 54.2213179507",583475.988227762
90,"7","12",72,2076927.767545949900523,6420782.337634593248367,"1","1","0","18.657359576, 49.8525684678","18.4633480093, 54.2213179507",639116.706079706
92,"8","1",73,2231456.594541056547314,7240865.988451625220478,"1","1","0","20.0455156473, 54.3716868955","18.4633480093, 54.2213179507",254203.963768363
93,"8","2",74,2224118.630883103236556,7190519.670431951992214,"1","1","0","19.9795975982, 54.107383178","18.4633480093, 54.2213179507",232487.375750191
94,"8","3",75,2212376.764433473348618,7106585.041061875410378,"1","1","0","19.8741186172, 53.662978278","18.4633480093, 54.2213179507",155352.988335973
95,"8","4",76,2200929.659288174007088,7023507.542237631976604,"1","1","0","19.7712875221, 53.2184479426","18.4633480093, 54.2213179507",215006.537606315
