id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
61,5,5,44,1909974.9517798817,7011480.162134243,True,True,False
62,5,6,45,1902615.2352143761,6937176.744543117,True,True,False
63,5,7,46,1895419.0264053305,6863544.363045718,True,True,False
64,5,8,47,1888381.1289752861,6790566.7101577055,True,True,False
65,5,9,48,1881496.5665363788,6718227.969764639,True,True,False
66,5,10,49,1874760.5712505972,6646512.796901784,True,True,False
67,5,11,50,1868168.5730950576,6575406.298527709,True,True,False
68,5,12,51,1855883.0661486473,6513656.628608492,True,True,False
69,5,13,52,1860394.3936620827,6468676.766950421,False,False,False
71,6,1,53,2017862.8783439281,7300952.266587192,True,True,False
72,6,2,54,2009705.5292512141,7230367.366543879,True,True,False
73,6,3,55,2001099.580406934,7154116.055172432,True,True,False
74,6,4,56,1992690.2794061792,7078582.21683662,True,True,False
75,6,5,57,1984471.1837704652,7003748.184253507,True,True,True
76,6,6,58,1976436.1313474975,6929596.835479749,True,True,False
77,6,7,59,1968579.2253387084,6856111.571168673,True,True,False
78,6,8,60,1960894.8202730475,6783276.292957724,True,True,False
79,6,9,61,1953377.5088583308,6711075.382920535,True,True,False
80,6,10,62,1946022.1096470456,6639493.684022195,True,True,False
81,6,11,63,1938823.6554586408,6568516.481520215,True,True,False
82,6,12,64,1938962.3566207536,6525002.140814644,True,True,False
85,7,1,65,2063209.8478914713,7276981.044976354,True,True,False
86,7,2,66,2085742.0032778261,7220281.920348275,True,True,True
87,7,3,67,2076844.008167572,7145358.774905659,True,True,True
88,7,4,68,2067733.7449456824,7070001.374431649,True,True,True
89,7,5,69,2058829.0616501628,6995337.9334583,True,True,True
90,7,6,70,2050123.3195801645,6921351.581310841,True,True,False
91,7,7,71,2041610.1647874862,6848025.956563666,True,True,False
92,7,8,72,2033283.5130962522,6775345.186264656,True,True,False
93,7,9,73,2025137.5360546748,6703293.866163857,True,True,False
94,7,10,74,2017166.6477523108,6631857.041889914,True,True,False
95,7,11,75,2009365.4924415764,6561020.191021278,True,True,False
96,7,12,76,2004613.1884196342,6491994.288153564,True,True,False
97,7,13,77,2004394.912891953,6449292.645142161,True,True,False
99,8,1,78,2182607.8514765734,7250896.629743715,False,False,False
100,8,2,79,2162478.6506008958,7211750.072838852,True,True,False
101,8,3,80,2152428.2108841673,7135900.765985886,True,True,False
102,8,4,81,2142622.4531687223,7060733.386364841,True,True,False
103,8,5,82,2133037.4131480744,6986253.690572947,True,True,True
104,8,6,83,2123665.988205375,6912445.07653289,True,True,True
105,8,7,84,2114501.3790807514,6839291.437219179,True,True,False
106,8,8,85,2105537.0739942533,6766777.140767482,True,True,False
107,8,9,86,2096766.8337507488,6694887.011524967,True,True,False
108,8,10,87,2088184.6777571097,6623606.311990138,True,True,False
109,8,11,88,2079784.8708875687,6552920.7255938575,True,True,False
110,8,12,89,2071561.911138226,6482816.340276072,True,True,False
111,8,13,90,2078922.3351654147,6425590.630384296,True,True,True
112,8,14,91,2093976.7326608722,6374617.944002108,False,False,False
113,9,1,92,2244812.4531439175,7243350.718213688,True,True,False
114,9,2,93,2238579.342417295,7201408.862133487,True,True,False
115,9,3,94,2227840.443980937,7125747.056584302,True,True,False
116,9,4,95,2217345.040894072,7050783.05851823,True,True,False
117,9,5,96,2207085.241064855,6976500.051088126,True,True,False
118,9,6,97,2197053.4913453157,6902881.717391838,True,True,True
119,9,7,98,2187242.5597120225,6829912.220586247,True,True,False
120,9,8,99,2177645.518552293,6757576.184925309,True,True,False
121,9,9,100,2168255.7289773957,6685858.67767308,True,True,False
122,9,10,101,2159066.8260904197,6614745.191845543,True,True,False
123,9,11,102,2150072.705142233,6544221.629737704,True,True,False
124,9,12,103,2141267.5085141505,6474274.28719484,True,True,True
125,9,13,104,2132645.6134707094,6404889.838589138,True,True,True
126,9,14,105,2135215.9647227735,6361111.122734907,True,True,False
127,10,1,106,2321143.3759135064,7232283.878860717,True,False,False
128,10,2,107,2314506.5682915114,7190340.890875515,True,True,False
129,10,3,108,2303069.1710337293,7114903.007526379,True,True,False
130,10,4,109,2291890.3419320043,7040155.515766906,True,True,False
131,10,5,110,2280961.7347395946,6966081.916488502,True,True,False
132,10,6,111,2270275.359863318,6892666.193753994,True,True,True
133,10,7,112,2259823.5657273256,6819892.7959536165,True,True,False
134,10,8,113,2249599.021284826,6747746.617810855,True,True,False
135,10,9,114,2239594.6995968586,6676212.9831950385,True,True,False
136,10,10,115,2229803.8624035977,6605277.62869998,True,True,False
137,10,11,116,2220220.04561951,6534926.687949889,True,True,False
138,10,12,117,2210837.045689021,6465146.676596102,True,True,True
139,10,13,118,2201648.9067442142,6395924.477969888,True,True,False
140,10,14,119,2198118.393126838,6344063.794803105,True,True,False
141,11,1,120,2405460.589066689,7224425.435738722,True,True,False
142,11,2,121,2390232.0974944932,7178574.979727887,True,True,False
143,11,3,122,2378103.075856201,7103374.301855172,True,True,False
144,11,4,123,2366247.3985906555,7028856.192204996,True,True,False
145,11,5,124,2354656.2810081053,6955004.485093195,True,False,False
146,11,6,125,2343321.311803913,6881803.480516724,True,True,True
147,11,7,126,2332234.4336751024,6809237.926387945,True,True,True
148,11,8,127,2321387.925121694,6737293.001542708,True,True,False
149,11,9,128,2310774.3833500897,6665954.299485202,True,True,False
150,11,10,129,2300386.708202215,6595207.812834201,True,True,False
151,11,11,130,2290218.0870400607,6525039.918437125,True,True,True
152,11,12,131,2280261.9805206605,6455437.363119897,True,True,True
153,11,13,132,2270512.1092015,6386387.250042089,True,True,False
154,11,14,133,2259413.081720024,6332916.355936328,True,True,False
155,12,1,134,2478975.687801338,7221879.364041159,True,False,False
156,12,2,135,2465744.485501813,7166117.398919219,True,True,False
157,12,3,136,2452931.073967706,7091166.933888924,True,True,False
158,12,4,137,2440405.472609214,7016890.82089314,True,True,False
159,12,5,138,2428158.4746294566,6943273.242443365,True,True,False
160,12,6,139,2416181.262339217,6870298.828590375,True,True,False
161,12,7,140,2404465.387097467,6797952.640267975,True,True,True
162,12,8,141,2393002.7504678955,6726220.153333069,True,True,True
163,12,9,142,2381785.586507349,6655087.243270976,True,True,False
164,12,10,143,2370806.4451085706,6584540.170536307,True,True,False
165,12,11,144,2360058.1763255973,6514565.566500748,True,True,True
166,12,12,145,2349533.915615596,6445150.419980402,True,True,False
167,12,13,146,2338775.0065777064,6376972.329944676,True,True,False
168,12,14,147,2315168.788921796,6336931.026388018,True,True,False
169,13,1,148,2551695.9801808205,7215543.7696364205,True,True,False
170,13,2,149,2541032.5439361823,7152974.730681466,True,True,False
171,13,3,150,2527542.3234198415,7078287.197815073,True,True,False
172,13,4,151,2514354.055496167,7004265.423166101,True,True,False
173,13,5,152,2501458.1281602117,6930893.951272391,True,True,False
174,13,6,153,2488845.3332022317,6858157.755484094,True,True,False
175,13,7,154,2476506.845544488,6786042.222442819,True,True,False
176,13,8,155,2464434.2038196432,6714533.137178573,True,True,True
177,13,9,156,2452619.292105764,6643616.668799539,True,True,True
178,13,10,157,2441054.322739461,6573279.356750445,True,True,True
179,13,11,158,2429731.820134606,6503508.0976160625,True,True,True
180,13,12,159,2418644.6055395394,6434290.132447082,True,True,False
181,13,13,160,2409625.6066844435,6371718.730563317,True,True,False
183,14,1,161,2598206.203678232,7198381.97656666,True,False,False
184,14,2,162,2600413.4582208972,7136893.115680093,True,True,False
185,14,3,163,2600881.996274173,7064105.495667775,True,True,False
186,14,4,164,2588082.8782537337,6990986.2975400565,True,True,False
187,14,5,165,2574545.281258441,6917872.641095081,True,True,False
188,14,6,166,2559466.4067806625,6845061.7366605755,True,True,False
189,14,7,167,2548349.4330953723,6773512.20504511,True,True,False
190,14,8,168,2535673.1859214185,6702237.255222746,True,True,False
191,14,9,169,2523266.6677593547,6631547.659711983,True,True,False
192,14,10,170,2511121.76618547,6561430.247427975,True,True,False
193,14,11,171,2499230.692026425,6491872.190228535,True,True,False
194,14,12,172,2487585.9636810604,6422860.991056179,True,True,False
195,14,13,173,2476526.936086326,6354670.900024215,True,True,False
196,14,14,174,2487163.509631888,6312638.001210603,False,True,False
199,15,3,175,2645009.575628212,7036042.344196921,False,False,False
200,15,4,176,2644345.933906322,6977420.529666504,True,True,False
201,15,5,177,2631215.027941044,6917724.963794781,False,True,False
202,15,6,178,2605232.5115713337,6872625.5687353965,True,True,False
202,15,6,179,2611117.574403984,6811036.11435607,True,True,False
203,15,7,180,2610164.3212258993,6760707.882421191,True,True,False
204,15,8,181,2603787.0338058295,6688430.582027216,True,True,False
205,15,9,182,2593719.0730289016,6618885.520631714,True,True,False
206,15,10,183,2581000.383079751,6548997.93160592,True,True,False
207,15,11,184,2568538.629360503,6479674.131218606,False,True,False
208,15,12,185,2547182.1062495736,6418655.0247301245,True,True,False
209,15,13,186,2520354.4162410493,6341703.585142153,True,False,False
210,15,14,187,2522737.465955434,6300357.183699048,False,False,False
218,16,8,188,2644508.9282958657,6653618.286335065,True,True,False
219,16,9,189,2654773.4033749336,6602563.320601945,True,True,False
220,16,10,190,2645906.8468535463,6538197.577592818,True,True,False
221,16,11,191,2620424.427126347,6482709.363322289,True,True,False
