id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
5,1,5,1,1606865.3856600209,7179872.069127612,False,False,False
6,1,6,2,1605136.2426366557,7146436.730386936,True,True,False
7,1,7,3,1606502.2870015437,7104242.669561797,False,True,False
8,1,8,4,1607852.1453643283,7062510.780895113,True,True,False
9,1,9,5,1607963.7341337395,7018456.250764793,True,True,False
10,1,10,6,1598971.5241537052,6975518.8366942145,True,True,False
11,1,11,7,1593305.2911516477,6944700.87491916,False,True,False
29,2,4,8,1660959.29226271,7209551.792743268,False,False,False
30,2,5,9,1646510.493768497,7184671.758884099,False,False,False
31,2,6,10,1643027.1624491445,7143182.245732686,True,True,False
32,2,7,11,1640228.0125252495,7100999.481788107,True,True,False
33,2,8,12,1637464.4722411397,7059038.6419289885,True,True,False
34,2,9,13,1634735.8875920877,7017296.621104281,True,True,False
35,2,10,14,1632041.62065415,6975770.369571253,True,False,False
36,2,11,15,1630526.457498831,6935607.43641382,True,True,False
37,2,12,16,1633708.1584824843,6892906.5270388955,True,True,False
38,2,13,17,1633028.302672827,6857009.587784019,True,True,False
39,2,14,18,1638784.6516149868,6809723.944960544,False,True,False
40,2,15,19,1635363.1065249578,6769503.974785225,True,True,False
41,2,16,20,1633980.0329979437,6744036.675264918,True,True,False
54,3,4,21,1693991.5563670273,7214666.759119947,False,False,False
55,3,5,22,1688280.9402799394,7182661.868666239,False,True,False
56,3,6,23,1685221.569623602,7140287.396831556,True,True,False
57,3,7,24,1682201.3135480904,7098137.381064974,True,True,False
58,3,8,25,1679219.4498686872,7056208.675157041,True,True,False
59,3,9,26,1676275.2742412237,7014498.189120486,True,True,False
60,3,10,27,1673368.0996171176,6973002.887816288,True,False,False
61,3,11,28,1670497.255718248,6931719.789620529,True,True,False
62,3,12,29,1667662.088530831,6890645.96513052,True,False,False
63,3,13,30,1664861.959817506,6849778.535908861,True,True,False
64,3,14,31,1662096.2466468662,6809114.673264097,True,True,False
65,3,15,32,1659364.340939722,6768651.597066722,True,True,False
66,3,16,33,1658942.9836788594,6730122.764693784,True,True,False
67,3,17,34,1667969.4256419283,6692434.086265756,True,True,False
68,3,18,35,1668618.4726471445,6648208.70662237,True,True,False
69,3,19,36,1666801.5554095886,6611123.205386653,False,True,False
78,4,3,37,1752177.353226997,7244453.655071734,False,False,False
79,4,4,38,1735124.7504248465,7220178.282178104,True,True,False
80,4,5,39,1730669.2128064423,7179511.138071116,True,True,False
81,4,6,40,1727386.4851504893,7137172.546458706,True,True,False
82,4,7,41,1724145.6919274833,7095057.734687333,True,True,False
83,4,8,42,1720946.0598081308,7053163.573211682,True,True,False
84,4,9,43,1717786.8345395287,7011486.988197459,True,True,False
85,4,10,44,1714667.2803634657,6970024.960166121,True,True,False
86,4,11,45,1711586.6794558584,6928774.52267957,True,True,False
87,4,12,46,1708544.3313864244,6887732.761063398,True,True,False
88,4,13,47,1705539.5525977649,6846896.8111673305,True,True,False
89,4,14,48,1702571.6759030295,6806263.858161617,True,True,False
90,4,15,49,1699640.0500014161,6765831.1353680575,True,True,False
91,4,16,50,1696744.0390107566,6725595.923124561,True,True,False
92,4,17,51,1693883.022016502,6685555.547682028,True,True,False
93,4,18,52,1691056.3926364384,6645707.380132475,True,True,False
94,4,19,53,1688821.6308653357,6607038.2220630925,True,True,False
95,4,20,54,1704536.4902206422,6584719.062164361,False,False,False
103,5,3,55,1783318.8086103203,7248914.892515266,False,False,False
104,5,4,56,1776576.2883003342,7218664.884191393,True,True,False
105,5,5,57,1773025.2447417313,7176138.43571639,True,True,False
106,5,6,58,1769519.7849012392,7133838.213129736,False,True,False
107,5,7,59,1766059.0638463516,7091761.048114882,True,True,False
108,5,8,60,1762642.2575804114,7049903.828898164,True,True,False
109,5,9,61,1759268.562401537,7008263.498872799,False,True,False
110,5,10,62,1755937.1942849264,6966837.055263416,True,True,False
111,5,11,63,1752647.3882875503,6925621.54782973,False,True,False
112,5,12,64,1749398.3979743063,6884614.077607955,True,True,False
113,5,13,65,1746189.494864722,6843811.79568867,True,True,False
114,5,14,66,1743019.967899371,6803211.902029917,True,True,False
115,5,15,67,1739889.1229251856,6762811.644304229,True,True,False
116,5,16,68,1736796.2821988843,6722608.316778552,True,True,False
117,5,17,69,1733740.7839077904,6682599.259225856,True,True,False
118,5,18,70,1730721.9817073247,6642781.855867398,True,True,False
119,5,19,71,1727739.2442745084,6603153.534344616,True,True,False
120,5,20,72,1731107.8709033902,6580729.276054517,True,True,False
127,6,2,73,1844208.9087061726,7278450.590976254,False,False,False
128,6,3,74,1824480.7061907914,7254485.918096306,True,True,False
129,6,4,75,1819122.8323965215,7215029.147448243,True,True,False
130,6,5,76,1815346.8831354748,7172544.329763813,True,True,False
131,6,6,77,1811619.35685345,7130284.950638843,False,True,False
132,6,7,78,1807939.357220927,7088247.861217946,True,True,False
133,6,8,79,1804306.010080609,7046429.968590336,True,True,False
134,6,9,80,1800718.4627698609,7004828.234435658,True,True,False
135,6,10,81,1797175.8834677981,6963439.673709481,True,True,False
136,6,11,82,1793677.4605659863,6922261.353366994,True,True,False
137,6,12,83,1790222.4020617725,6881290.39112367,True,False,False
138,6,13,84,1786809.9349732928,6840523.954251526,True,True,False
