id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
3,1,3,1,1624743.539403216,7186931.286860337,False,False,False
4,1,4,2,1617924.7054138803,7141798.996897908,True,True,False
5,1,5,3,1620000.7963699792,7074362.72769962,True,True,False
6,1,6,4,1617715.3174423336,7003815.6808243515,True,True,False
7,1,7,5,1608949.7315690643,6947442.4658389455,True,True,False
8,1,8,6,1624612.6714206128,6877584.463793546,True,True,False
19,2,3,7,1688404.866494997,7196957.132586685,False,True,False
20,2,4,8,1680701.8683842106,7136361.398840571,True,True,False
21,2,5,9,1675929.2514212525,7069057.9099697275,True,True,False
22,2,6,10,1671252.9560760884,7002315.600263696,True,True,False
23,2,7,11,1666670.1878280395,6936122.030549497,True,True,False
24,2,8,12,1662436.4015343636,6870703.482860854,True,True,False
25,2,9,13,1662780.5901298767,6804732.052182008,True,True,False
26,2,10,14,1660402.2594670232,6743165.849808599,True,True,False
27,2,11,15,1672521.9159426182,6679143.691300402,True,True,False
28,2,12,16,1671141.6124060398,6618204.922222401,True,True,False
34,3,2,17,1768646.7595546653,7242600.631779549,False,False,False
35,3,3,18,1753565.0981090001,7199097.002524896,True,True,False
36,3,4,19,1748120.1988099278,7131313.149920033,True,True,False
37,3,5,20,1742786.1563758182,7064100.347575378,True,True,False
38,3,6,21,1737559.6212237093,6997446.032868714,True,True,False
39,3,7,22,1732437.4801423983,6931337.870650838,True,True,False
40,3,8,23,1727416.7401534524,6865763.869293208,True,True,False
41,3,9,24,1722494.5227927382,6800712.367623099,True,True,False
42,3,10,25,1717668.0587149193,6736172.0224577915,True,True,False
43,3,11,26,1712934.6825998898,6672131.79670529,True,True,False
44,3,12,27,1709426.1024691262,6611953.874567771,True,True,False
50,4,2,28,1830505.4626460732,7251210.869618179,True,True,False
51,4,3,29,1821470.1277011046,7193384.654627233,True,True,False
52,4,4,30,1815455.052537751,7125704.362732631,True,True,False
53,4,5,31,1809562.1366685028,7058592.150416527,True,True,False
54,4,6,32,1803787.8143227128,6992035.446017646,True,True,False
55,4,7,33,1798128.658389717,6926022.029267917,True,True,False
56,4,8,34,1792581.3737815784,6860540.017926806,True,True,False
57,4,9,35,1787142.7911728334,6795577.855027542,True,True,False
58,4,10,36,1781809.8610925754,6731124.296702118,True,True,False
59,4,11,37,1776579.6483460127,6667168.400553963,True,True,False
60,4,12,38,1771575.6991045566,6603824.747380445,True,True,False
61,4,13,39,1784260.6168150539,6568495.998758711,True,True,False
65,5,1,40,1916361.3622671084,7296230.356672164,False,False,False
66,5,2,41,1896251.7560485858,7254913.6650140425,True,True,False
67,5,3,42,1889280.274882153,7187103.91160053,True,True,False
68,5,4,43,1882697.8376917245,7119537.413849548,True,True,False
69,5,5,44,1876248.8575767872,7052535.600518388,True,True,False
70,5,6,45,1869929.4480676316,6986086.031763898,True,True,False
71,5,7,46,1863735.8733983454,6920176.612794332,True,True,False
72,5,8,47,1857664.5413175614,6854795.580864827,True,True,False
73,5,9,48,1851711.9963059532,6789931.492861079,True,True,False
74,5,10,49,1845874.9131739868,6725573.213439876,True,True,False
75,5,11,50,1840150.0910153682,6661709.903696918,True,True,False
76,5,12,51,1834534.4474934284,6598331.010334298,True,True,False
77,5,13,52,1836389.0327334036,6536499.999665744,True,True,False
78,5,14,53,1845988.324874481,6492893.885938127,True,True,False
81,6,1,54,1974714.8341560713,7303262.1192949405,True,True,False
82,6,2,55,1964282.2789992387,7248273.970914715,True,True,False
83,6,3,56,1956986.664532869,7180257.613999962,True,True,False
84,6,4,57,1949840.0519835998,7112814.905543448,True,True,False
85,6,5,58,1942838.069620716,7045933.196901228,True,True,False
86,6,6,59,1935976.5163005923,6979600.190854559,True,True,False
87,6,7,60,1929251.3532828614,6913803.928398865,True,True,False
88,6,8,61,1922658.696511823,6848532.776126993,True,True,False
89,6,9,62,1916194.8093326767,6783775.414175294,True,True,False
90,6,10,63,1909856.0956143716,6719520.824703104,True,True,False
91,6,11,64,1903639.09325296,6655758.280877789,True,True,False
92,6,12,65,1897540.4680312194,6592477.336339276,True,True,False
93,6,13,66,1887870.9456147244,6537762.926992042,True,True,False
94,6,14,67,1862632.7431123415,6487027.232876447,True,False,False
97,7,1,68,2032995.0653359818,7303043.322234069,True,True,False
98,7,2,69,2032448.338213575,7240727.26377704,True,True,False
99,7,3,70,2024580.6339652606,7172848.703104644,True,True,False
100,7,4,71,2016873.2904865926,7105539.661676827,True,True,False
101,7,5,72,2009321.6159759203,7038787.65170624,True,True,True
102,7,6,73,2001921.1010832977,6972580.529077956,True,True,True
103,7,7,74,1994667.410193476,6906906.4805801725,True,True,False
104,7,8,75,1987556.3732020801,6841754.011700145,True,True,False
105,7,9,76,1980583.9777528814,6777111.93495623,True,True,False
106,7,10,77,1973746.361906443,6712969.358738397,True,True,False
107,7,11,78,1967039.8072125632,6649315.676631311,True,True,False
108,7,12,79,1960460.732160937,6586140.557195475,True,True,False
109,7,13,80,1957779.0847853192,6531294.3811294045,True,True,False
110,7,14,81,1977711.0592126327,6477949.69006715,True,False,False
113,8,1,82,2072367.29703889,7272912.0150846075,False,False,False
114,8,2,83,2099564.3430521097,7227592.8846672075,True,True,True
115,8,3,84,2092053.630762706,7164880.345958681,True,True,True
116,8,4,85,2083789.2531847835,7097714.723269886,True,True,True
117,8,5,86,2075691.4396772708,7031101.886018351,True,True,True
118,8,6,87,2067755.3795734958,6965029.853324585,True,True,True
119,8,7,88,2059976.4468827648,6899486.967450136,True,True,False
120,8,8,89,2052350.1915867086,6834461.882029564,True,True,False
121,8,9,90,2044872.3314211424,6769943.550810322,True,True,False
122,8,10,91,2037538.7441123356,6705921.216875034,True,True,False
123,8,11,92,2030345.4600388012,6642384.402322071,True,True,False
124,8,12,93,2023288.6552918078,6579322.8983816905,True,True,False
125,8,13,94,2016364.645109702,6516726.755946315,True,True,False
126,8,14,95,2010367.400095753,6464443.801454328,True,True,False
130,9,2,96,2168858.094130265,7221863.4727953905,True,True,False
131,9,3,97,2159397.2204379453,7156355.9303421555,True,True,False
132,9,4,98,2150579.7522828183,7089343.343762101,True,True,False
133,9,5,99,2141939.590598761,7022879.025399112,True,True,False
134,9,6,100,2133471.630692424,6956951.1673734095,True,True,True
135,9,7,101,2125170.9630770097,6891548.276757114,True,True,True
136,9,8,102,2117032.864315375,6826659.164263808,True,True,False
137,9,9,103,2109052.788371131,6762272.933416609,True,True,False
138,9,10,104,2101226.3584353994,6698378.970171362,True,True,False
139,9,11,105,2093549.359199185,6634966.932972847,True,True,False
140,9,12,106,2086017.7295434533,6572026.743223068,True,True,False
141,9,13,107,2078627.5556209935,6509548.576141754,True,True,False
142,9,14,108,2075019.096727737,6451253.20844823,True,True,True
143,9,15,109,2088483.9745541057,6401206.450758274,True,True,True
