id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
12,1,12,1,1592231.2517676794,7181641.078074082,False,False,False
13,1,13,2,1591755.7334045412,7168044.101402966,False,False,False
14,1,14,3,1592330.9947424347,7151120.69570514,True,True,False
15,1,15,4,1592899.7562429016,7134380.063589335,False,False,False
16,1,16,5,1593443.62313498,7118364.409889967,False,False,False
17,1,17,6,1593849.8088918943,7106398.2634262955,False,False,False
24,1,24,7,1586195.7180215928,6974787.162004888,False,False,False
25,1,25,8,1583435.753391295,6963829.916487948,False,False,False
26,1,26,9,1579713.173969934,6949023.2991493745,False,False,False
27,1,27,10,1579320.9869659292,6939826.599156043,False,False,False
73,2,11,11,1613207.4757238072,7193477.681977729,False,False,False
74,2,12,12,1607628.9461323745,7183462.017899248,False,False,False
75,2,13,13,1606341.2006640583,7166788.576392986,False,False,False
76,2,14,14,1605290.559558945,7149832.477173547,True,True,False
77,2,15,15,1604245.3232371323,7132912.526617589,False,False,False
78,2,16,16,1603205.451374326,7116028.520062378,False,False,False
79,2,17,17,1602548.0587388733,7099373.316570445,False,False,False
80,2,18,18,1603020.8957124085,7082596.568548106,False,False,False
81,2,19,19,1603571.7633305723,7065833.66454394,True,True,False
82,2,20,20,1604117.7822499748,7049211.881267949,True,True,False
83,2,21,21,1604649.460267883,7033020.614167393,True,False,False
84,2,22,22,1603994.1962620928,7012982.063436942,True,False,False
85,2,23,23,1600323.8896849353,6997401.10014992,True,False,False
86,2,24,24,1596303.2057303034,6981524.8108335715,True,False,False
87,2,25,25,1594081.5479007838,6965656.896450089,False,False,False
88,2,26,26,1593093.1892759488,6949121.39348715,False,False,False
89,2,27,27,1593302.5676042265,6936555.919929927,False,False,False
135,3,11,28,1626513.0667196151,7195636.517837413,False,False,False
136,3,12,29,1624368.907779155,7182718.02035454,False,False,False
137,3,13,30,1623276.7952848903,7165730.442312682,False,False,False
138,3,14,31,1622190.3124275256,7148779.181932017,True,True,False
139,3,15,32,1621109.4171133891,7131864.033419407,False,False,False
140,3,16,33,1620034.0676715316,7114984.792479538,False,False,False
141,3,17,34,1618964.2228484573,7098141.256299979,False,True,False
142,3,18,35,1617899.8418029302,7081333.2235363955,False,True,False
143,3,19,36,1616840.8841008605,7064560.494297969,True,True,False
144,3,20,37,1615787.3097102635,7047822.870132965,True,True,False
145,3,21,38,1614739.0789962988,7031120.154014504,True,True,False
146,3,22,39,1613696.152716375,7014452.150326481,True,True,False
147,3,23,40,1612658.4920153331,6997818.664849669,True,True,False
148,3,24,41,1611626.058420699,6981219.504747998,True,True,False
149,3,25,42,1610598.8138380034,6964654.478554949,True,True,False
150,3,26,43,1609576.7205461715,6948123.396160185,True,True,False
151,3,27,44,1609195.1547531858,6932809.474434057,True,True,False
152,3,28,45,1616052.3193434454,6922821.862415689,False,False,False
196,4,10,46,1649435.161604513,7207734.37763317,False,False,False
197,4,11,47,1642898.9136594106,7197954.195853146,False,False,False
198,4,12,48,1641336.2477318603,7181619.3332234435,False,False,False
199,4,13,49,1640208.1428696795,7164636.793130329,False,True,False
200,4,14,50,1639085.8514272447,7147690.532311883,True,True,False
201,4,15,51,1637969.3299550049,7130780.345359064,True,False,False
202,4,16,52,1636858.5354395227,7113906.028355851,True,False,False
203,4,17,53,1635753.4252980412,7097067.378864368,False,False,False
204,4,18,54,1634653.957373132,7080264.1959101865,False,True,False
205,4,19,55,1633560.0899274186,7063496.279967791,True,True,False
206,4,20,56,1632471.781638383,7046763.432946241,True,True,False
207,4,21,57,1631388.9915932463,7030065.458174977,True,False,False
208,4,22,58,1630311.679283926,7013402.160389837,True,False,False
209,4,23,59,1629239.8046020656,6996773.345719209,False,False,False
210,4,24,60,1628173.3278341417,6980178.8216703525,True,False,False
211,4,25,61,1627112.2096566355,6963618.397115918,False,False,False
212,4,26,62,1626056.4111312844,6947091.882280566,False,False,False
213,4,27,63,1625005.893700393,6930599.088727808,True,True,False
214,4,28,64,1626567.7438850733,6914260.897130812,True,True,False
215,4,29,65,1625785.439790512,6897531.979747464,True,True,False
216,4,30,66,1624742.9826967372,6881140.136767583,True,False,False
217,4,31,67,1623705.691718628,6864781.2676846245,True,True,False
218,4,32,68,1623709.53375689,6852845.618544586,True,True,False
258,5,10,69,1661922.3092090485,7209702.894037399,False,False,False
259,5,11,70,1659469.2722706771,7197498.785495486,False,False,False
260,5,12,71,1658299.1675133563,7180484.998799706,False,False,False
261,5,13,72,1657135.1048669505,7163507.658292974,False,True,False
262,5,14,73,1655977.0390752659,7146566.557459212,False,True,False
263,5,15,74,1654824.9253372313,7129661.491285419,False,True,False
264,5,16,75,1653678.7193012175,7112792.256246673,True,True,False
265,5,17,76,1652538.3770594394,7095958.650291314,True,True,False
266,5,18,77,1651403.8551424432,7079160.4728263365,True,True,False
267,5,19,78,1650275.1105136743,7062397.524702898,True,True,False
268,5,20,79,1649152.1005641266,7045669.608202092,True,True,False
269,5,21,80,1648034.7831070707,7028976.527020788,False,False,False
270,5,22,81,1646923.1163728586,7012318.086257721,True,False,False
271,5,23,82,1645817.0590038076,6995694.092399738,True,False,False
272,5,24,83,1644716.570049156,6979104.353308152,True,False,False
273,5,25,84,1643621.608960096,6962548.678205331,True,False,False
274,5,26,85,1642532.1355848764,6946026.877661402,True,False,False
275,5,27,86,1641448.1101639776,6929538.763581133,True,False,False
276,5,28,87,1640369.4933253578,6913084.149190953,True,True,False
277,5,29,88,1639296.2460797664,6896662.849026142,True,True,False
278,5,30,89,1638228.329816127,6880274.678918175,True,True,False
279,5,31,90,1637165.706296985,6863919.455982192,True,True,False
280,5,32,91,1636842.1377053717,6848474.984819699,True,False,False
281,5,33,92,1640583.9783691282,6830775.677552901,False,False,False
282,5,34,93,1639197.514362249,6814558.787901295,False,True,False
283,5,35,94,1637816.6276677342,6798372.448722918,False,True,False
284,5,36,95,1636441.9437805484,6782214.979367231,True,True,False
285,5,37,96,1635073.4831054618,6766086.964395138,False,False,False
286,5,38,97,1633798.5333385384,6750129.782222216,True,True,False
287,5,39,98,1635010.1299867614,6739061.940340321,True,False,False
319,6,9,99,1685794.8168015357,7221851.288637464,False,False,False
320,6,10,100,1678286.5743752643,7212175.589021692,False,False,False
321,6,11,101,1676463.7390869684,7196323.432336414,False,False,False
322,6,12,102,1675257.527768051,7179315.047776392,False,False,False
323,6,13,103,1674057.5429969714,7162343.068179385,False,False,False
324,6,14,104,1672863.7381570851,7145407.287442421,False,False,False
325,6,15,105,1671676.0671002942,7128507.50096043,False,False,False
326,6,16,106,1670494.4841412017,7111643.505611334,True,False,False
327,6,17,107,1669318.9440513526,7094815.09974129,True,True,False
328,6,18,108,1668149.4020535618,7078022.083150166,False,False,False
329,6,19,109,1666985.8138163262,7061264.257077138,False,False,False
330,6,20,110,1665828.135448319,7044541.424186495,True,True,False
331,6,21,111,1664676.323492965,7027853.388553584,False,False,False
332,6,22,112,1663530.334923098,7011199.955650983,False,False,False
333,6,23,113,1662390.1271356926,6994580.932334745,True,False,False
334,6,24,114,1661255.657946679,6977996.12683091,True,False,False
335,6,25,115,1660126.8855858285,6961445.348722093,True,False,False
336,6,26,116,1659003.768691715,6944928.408934286,False,False,False
337,6,27,117,1657886.2663067533,6928445.119723788,False,True,False
338,6,28,118,1656774.3378723047,6911995.294664303,False,True,False
339,6,29,119,1655667.9432238555,6895578.748634179,True,False,False
340,6,30,120,1654567.0425862663,6879195.297803814,False,False,False
341,6,31,121,1653471.5965690888,6862844.759623187,True,True,False
342,6,32,122,1652381.5661619494,6846526.952809557,True,True,False
343,6,33,123,1651296.9127300002,6830241.697335299,True,False,False
