id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILW,BOOL_WATER,start,end,cost
2,"1","2",1,1660959.292262709932402,7209551.792743268422782,"0","0","0","14.9206511854, 54.2074954086","18.4599606449, 54.2220710203",184955.421537022
3,"1","3",2,1628932.123953088419512,7162050.706801694817841,"1","1","0","14.6329462374, 53.9571791592","18.4599606449, 54.2220710203",184955.421537022
4,"1","4",3,1628114.842565332539380,7082446.506008228287101,"1","1","0","14.6256044738, 53.5342972147","18.4599606449, 54.2220710203",184955.421537022
5,"1","5",4,1623978.826766449958086,6994464.011770778335631,"1","1","0","14.5884500117, 53.0619434517","18.4599606449, 54.2220710203",184955.421537022
6,"1","6",5,1622670.799621481448412,6924274.348592899739742,"1","1","0","14.5766998039, 52.6813604249","18.4599606449, 54.2220710203",184955.421537022
7,"1","7",6,1634402.692794748581946,6845738.973769861273468,"1","1","0","14.6820891934, 52.2515589628","18.4599606449, 54.2220710203",184955.421537022
8,"1","8",7,1635034.871352738467976,6763471.240660118870437,"1","1","0","14.68776815, 51.7968216138","18.4599606449, 54.2220710203",184955.421537022
15,"2","2",8,1721510.993336011655629,7218821.278397833928466,"1","1","0","15.4645963709, 54.2561668348","18.4599606449, 54.2220710203",184955.421537022
16,"2","3",9,1707888.295944820623845,7159907.648278553970158,"1","1","0","15.3422215982, 53.9458502815","18.4599606449, 54.2220710203",184955.421537022
17,"2","4",10,1701626.912394844461232,7075641.423895077779889,"1","1","0","15.2859746327, 53.4979488802","18.4599606449, 54.2220710203",184955.421537022
18,"2","5",11,1695523.193493771366775,6992253.005941334180534,"1","1","0","15.2311439929, 53.0500058225","18.4599606449, 54.2220710203",184955.421537022
19,"2","6",12,1689571.445956349605694,6909718.170923787169158,"1","1","0","15.1776785351, 52.6020153659","18.4599606449, 54.2220710203",184955.421537022
20,"2","7",13,1683766.250093968585134,6828013.537801218219101,"1","1","0","15.1255295734, 52.1539717121","18.4599606449, 54.2220710203",184955.421537022
21,"2","8",14,1679356.423120851861313,6748151.058711159043014,"1","1","0","15.0859154237, 51.7116277178","18.4599606449, 54.2220710203",184955.421537022
22,"2","9",15,1688509.306235079187900,6667521.351906592026353,"1","1","0","15.1681371717, 51.2606022616","18.4599606449, 54.2220710203",187574.508408513
23,"2","10",16,1687032.726492976304144,6607339.367094914428890,"1","1","0","15.1548728302, 50.9210450242","18.4599606449, 54.2220710203",187574.508408513
27,"3","1",17,1844208.908706172602251,7278450.590976254083216,"0","0","0","16.566810498, 54.5678930352","18.4599606449, 54.2220710203",1501.69402447952
28,"3","2",18,1802999.306945486925542,7230484.616141975857317,"1","1","0","16.1966183469, 54.3173261823","18.4599606449, 54.2220710203",184955.421537022
29,"3","3",19,1792376.387009596452117,7153200.935663114301860,"1","1","0","16.1011910335, 53.910376611","18.4599606449, 54.2220710203",184955.421537022
30,"3","4",20,1785235.286771459737793,7069085.300227547995746,"1","1","0","16.0370414386, 53.4629008237","18.4599606449, 54.2220710203",184955.421537022
31,"3","5",21,1778273.683123241178691,6985841.904036587104201,"1","1","0","15.974504289, 53.0153723965","18.4599606449, 54.2220710203",184955.421537022
32,"3","6",22,1771485.110360753023997,6903446.790931412018836,"1","1","0","15.9135215023, 52.567785985","18.4599606449, 54.2220710203",184955.421537022
33,"3","7",23,1764863.412575212772936,6821876.831317854113877,"1","1","0","15.854037779, 52.12013617","18.4599606449, 54.2220710203",184955.421537022
34,"3","8",24,1758402.725420516217127,6741109.683324365876615,"1","1","0","15.7960004388, 51.6724174611","18.4599606449, 54.2220710203",187574.508408513
35,"3","9",25,1752097.459151600021869,6661123.756152485497296,"1","1","0","15.7393592682, 51.2246243007","18.4599606449, 54.2220710203",187574.508408513
36,"3","10",26,1748868.502477958798409,6597975.511404453776777,"1","1","0","15.7103530569, 50.8679882614","18.4599606449, 54.2220710203",957586.29184991
40,"4","1",27,1902917.781081553315744,7286065.159148403443396,"1","1","0","17.0942012717, 54.6075294605","18.4599606449, 54.2220710203",1501.69402447952
41,"4","2",28,1884948.135094028897583,7230450.942235301248729,"1","1","0","16.9327771953, 54.3171497363","18.4599606449, 54.2220710203",173211.079411682
42,"4","3",29,1876724.011947297491133,7145614.790782402269542,"1","1","0","16.8588986401, 53.8702150314","18.4599606449, 54.2220710203",184955.421537022
43,"4","4",30,1868708.547339623793960,7061669.116111587733030,"1","1","0","16.7868944964, 53.4232201068","18.4599606449, 54.2220710203",184955.421537022
44,"4","5",31,1860894.151997237931937,6978589.413398133590817,"1","1","0","16.7166965887, 52.976160167","18.4599606449, 54.2220710203",184955.421537022
45,"4","6",32,1853273.603290302213281,6896352.026462946087122,"1","1","0","16.6482400349, 52.5290303145","18.4599606449, 54.2220710203",184955.421537022
46,"4","7",33,1845840.023489790968597,6814934.107931589707732,"1","1","0","16.5814630514, 52.0818255555","18.4599606449, 54.2220710203",187574.508408513
47,"4","8",34,1838586.859550316585228,6734313.581634363159537,"1","1","0","16.5163067712, 51.6345408053","18.4599606449, 54.2220710203",187574.508408513
48,"4","9",35,1831507.864295847248286,6654469.107098997570574,"1","1","0","16.4527150748, 51.1871708928","18.4599606449, 54.2220710203",187574.508408513
49,"4","10",36,1828453.230558762792498,6579192.151107510551810,"1","1","0","16.4252748331, 50.7613771315","18.4599606449, 54.2220710203",957586.29184991
50,"4","11",37,1838677.163107805652544,6513276.709933455102146,"1","1","0","16.5171179818, 50.3853250131","18.4599606449, 54.2220710203",957586.29184991
53,"5","1",38,1982689.860531426267698,7295706.928715273737907,"1","1","0","17.8108060538, 54.6576628426","18.4599606449, 54.2220710203",1501.69402447952
54,"5","2",39,1970028.898706365842372,7221794.026559812948108,"1","1","0","17.6970706987, 54.2717637351","18.4599606449, 54.2220710203",1501.69402447952
55,"5","3",40,1960914.329660446848720,7137154.262776849791408,"1","1","0","17.6151931318, 53.8253788758","18.4599606449, 54.2220710203",173211.079411682
56,"5","4",41,1952030.478913826169446,7053397.670801113359630,"1","1","0","17.5353881428, 53.3789195369","18.4599606449, 54.2220710203",184955.421537022
57,"5","5",42,1943368.981523091439158,6970500.098394147120416,"1","1","0","17.4575805879, 52.9323814416","18.4599606449, 54.2220710203",184955.421537022
58,"5","6",43,1934921.875107803614810,6888438.220937586389482,"1","1","0","17.3816989399, 52.4857601862","18.4599606449, 54.2220710203",187574.508408513
59,"5","7",44,1926681.576087446883321,6807189.503072081133723,"1","1","0","17.3076750743, 52.0390512477","18.4599606449, 54.2220710203",187574.508408513
60,"5","8",45,1918640.857577170943841,6726732.162457570433617,"1","1","0","17.235444071, 51.5922499899","18.4599606449, 54.2220710203",187574.508408513
61,"5","9",46,1910792.828809384489432,6647045.135517365299165,"1","1","0","17.1649440291, 51.1453516696","18.4599606449, 54.2220710203",957586.29184991
62,"5","10",47,1903134.855903002433479,6568117.772859415039420,"1","1","0","17.096151288, 50.6984067929","18.4599606449, 54.2220710203",957586.29184991
63,"5","11",48,1922276.036780537106097,6524076.377307245507836,"1","1","0","17.2680994414, 50.447143547","18.4599606449, 54.2220710203",957586.29184991
63,"5","11",49,1867190.071142646251246,6506123.605875625275075,"1","1","0","16.7732537926, 50.3443354074","18.4599606449, 54.2220710203",957586.29184991
66,"6","1",50,2044970.082441414240748,7288453.714963104575872,"1","1","0","18.3702788062, 54.6199547634","18.4599606449, 54.2220710203",6059.74500142374
67,"6","2",51,2054928.826964263338596,7212248.780529434792697,"1","1","1","18.4597397304, 54.2216624429",,
68,"6","3",52,2044930.738800543826073,7127824.951039566658437,"1","1","0","18.3699253763, 53.7758829552","18.4599606449, 54.2220710203",142406.667733849
69,"6","4",53,2035185.091621471568942,7044276.287558493204415,"1","1","1","18.2823787382, 53.3300133429","18.4599606449, 54.2220710203",158521.827925624
70,"6","5",54,2025682.765013928525150,6961579.022659904323518,"1","1","1","18.1970178859, 52.8840498955","18.4599606449, 54.2220710203",193423.270944434
71,"6","6",55,2016415.075619540410116,6879710.193702520802617,"1","1","0","18.1137648156, 52.4379887488","18.4599606449, 54.2220710203",189538.969018695
72,"6","7",56,2007373.751467470312491,6798647.606067094951868,"1","1","0","18.0325452188, 51.9918258937","18.4599606449, 54.2220710203",210757.752280477
73,"6","8",57,1998550.908088296884671,6718369.798386394046247,"1","1","0","17.9532882683, 51.5455571843","18.4599606449, 54.2220710203",210757.752280477
74,"6","9",58,1989939.026267203735188,6638856.009642117656767,"1","1","0","17.8759264176, 51.099178345","18.4599606449, 54.2220710203",956090.211618974
75,"6","10",59,1981530.931307378457859,6560086.148011733777821,"1","1","0","17.8003952155, 50.6526849774","18.4599606449, 54.2220710203",957586.29184991
76,"6","11",60,1989196.332084957975894,6488053.150244849734008,"1","1","0","17.8692546823, 50.2406281091","18.4599606449, 54.2220710203",957586.29184991
