id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
8,1,8,1,1597398.4453241364,7182479.051289857,False,False,False
9,1,9,2,1596129.1416166557,7163665.726504302,True,True,False
10,1,10,3,1596978.6088509094,7138273.19765128,True,False,False
11,1,11,4,1597819.6442167219,7113115.350604822,False,False,False
12,1,12,5,1598638.8269524346,7088594.908812036,False,False,False
13,1,13,6,1599302.2956438074,7068723.886483794,True,True,False
16,1,16,7,1592140.305584614,6981704.3039898835,True,False,False
17,1,17,8,1586779.0315911733,6960472.1392934425,False,False,False
18,1,18,9,1583628.4081440186,6942901.107662618,False,False,False
49,2,7,10,1631304.7878722607,7200623.389864871,False,False,False
50,2,8,11,1621135.0170901064,7186009.1762145385,False,False,False
51,2,9,12,1618773.386171729,7161756.787616556,True,True,False
52,2,10,13,1617161.2588982175,7136355.17318378,True,True,False
53,2,11,14,1615561.5311211108,7111034.486535597,False,True,False
54,2,12,15,1613974.064730887,7085794.042862376,False,True,False
55,2,13,16,1612560.3930193554,7060745.877252493,True,True,False
56,2,14,17,1612869.623880509,7035899.366887937,True,True,False
57,2,15,18,1611637.6129799075,7009674.147309841,True,True,False
58,2,16,19,1607759.4364791594,6985604.518347251,True,True,False
59,2,17,20,1606215.9621183195,6960772.014040242,True,True,False
60,2,18,21,1605661.6925635953,6937827.000942813,True,True,False
61,2,19,22,1616052.3193434454,6922821.862415689,False,False,False
91,3,7,23,1649665.557930034,7203553.729333239,False,False,False
92,3,8,24,1645862.5926058716,7185590.09551345,False,False,False
93,3,9,25,1644156.9427614005,7160118.196348995,False,True,False
94,3,10,26,1642464.4517477783,7134727.788080813,True,True,False
95,3,11,27,1640784.9725220196,7109418.1802996015,True,True,False
96,3,12,28,1639118.3602451293,7084188.6900919825,True,True,False
97,3,13,29,1637464.47224114,7059038.641928991,True,True,False
98,3,14,30,1635823.167957063,7033967.367556563,True,False,False
99,3,15,31,1634194.3089237243,7008974.205888024,True,False,False
