id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"5","1","5","1","0","0","0","4611299.45962, 3447159.41268","4883968.96594, 3501968.32857",402210.889734969
"6","1","6","2","1","1","0","4611501.81646, 3427465.09643","4883968.96594, 3501968.32857",406986.996764268
"7","1","7","3","0","1","0","4613852.54415, 3402620.6389","4883968.96594, 3501968.32857",388904.96836478
"8","1","8","4","1","1","0","4616189.85471, 3377917.98477","4883968.96594, 3501968.32857",362475.672759493
"9","1","9","5","1","1","0","4617884.37878, 3351651.32483","4883968.96594, 3501968.32857",369113.928808826
"10","1","10","6","1","1","0","4614058.9624, 3325577.80191","4883968.96594, 3501968.32857",394796.694044371
"11","1","11","7","0","1","0","4611756.73758, 3306808.5988","4883968.96594, 3501968.32857",398824.101240455
"29","2","4","8","0","0","0","4641854.24898, 3466565.83617","4883968.96594, 3501968.32857",267097.546632282
"30","2","5","9","0","0","0","4634385.19143, 3451455.95926","4883968.96594, 3501968.32857",386474.840107979
"31","2","6","10","1","1","0","4633968.96594, 3426968.32857","4883968.96594, 3501968.32857",376842.721375214
"32","2","7","11","1","1","0","4633968.96594, 3401968.32857","4883968.96594, 3501968.32857",347172.926041192
"33","2","8","12","1","1","0","4633968.96594, 3376968.32857","4883968.96594, 3501968.32857",340793.712419412
"34","2","9","13","1","1","0","4633968.96594, 3351968.32857","4883968.96594, 3501968.32857",369113.928808826
"35","2","10","14","1","0","0","4633968.96594, 3326968.32857","4883968.96594, 3501968.32857",399026.070596271
"36","2","11","15","1","1","0","4634617.55995, 3302707.77839","4883968.96594, 3501968.32857",385762.110668506
"37","2","12","16","1","1","0","4638218.0155, 3276967.64184","4883968.96594, 3501968.32857",379407.274808219
"38","2","13","17","1","1","0","4639214.13437, 3255092.02805","4883968.96594, 3501968.32857",406461.301722497
"39","2","14","18","0","1","0","4644615.02398, 3226391.35416","4883968.96594, 3501968.32857",446634.65723288
"40","2","15","19","1","1","0","4644107.39361, 3201516.48986","4883968.96594, 3501968.32857",473194.365963885
"41","2","16","20","1","1","0","4644262.82295, 3185733.55768","4883968.96594, 3501968.32857",517205.465901593
"54","3","4","21","0","0","0","4660946.00189, 3470904.68265","4883968.96594, 3501968.32857",259660.456441548
"55","3","5","22","0","1","0","4658968.96594, 3451968.32857","4883968.96594, 3501968.32857",267097.546632282
"56","3","6","23","1","1","0","4658968.96594, 3426968.32857","4883968.96594, 3501968.32857",291170.181408652
"57","3","7","24","1","1","0","4658968.96594, 3401968.32857","4883968.96594, 3501968.32857",321938.094826564
"58","3","8","25","1","1","0","4658968.96594, 3376968.32857","4883968.96594, 3501968.32857",308549.839353016
"59","3","9","26","1","1","0","4658968.96594, 3351968.32857","4883968.96594, 3501968.32857",330374.02028285
"60","3","10","27","1","0","0","4658968.96594, 3326968.32857","4883968.96594, 3501968.32857",329023.584429326
"61","3","11","28","1","1","0","4658968.96594, 3301968.32857","4883968.96594, 3501968.32857",342624.730395634
"62","3","12","29","1","0","0","4658968.96594, 3276968.32857","4883968.96594, 3501968.32857",387540.077955504
"63","3","13","30","1","1","0","4658968.96594, 3251968.32857","4883968.96594, 3501968.32857",412724.962527056
"64","3","14","31","1","1","0","4658968.96594, 3226968.32857","4883968.96594, 3501968.32857",474722.858738612
"65","3","15","32","1","1","0","4658968.96594, 3201968.32857","4883968.96594, 3501968.32857",475712.286927079
"66","3","16","33","1","1","0","4660310.44623, 3178138.93461","4883968.96594, 3501968.32857",528301.634016479
"67","3","17","34","1","1","0","4667509.13132, 3155119.35155","4883968.96594, 3501968.32857",554583.424510789
"68","3","18","35","1","1","0","4669794.41941, 3127551.83561","4883968.96594, 3501968.32857",552773.238771281
"69","3","19","36","0","1","0","4670231.33101, 3104219.38604","4883968.96594, 3501968.32857",581212.521580978
"78","4","3","37","0","0","0","4693521.71119, 3490807.93169","4883968.96594, 3501968.32857",228323.608729951
"79","4","4","38","1","1","0","4684715.1856, 3475913.92883","4883968.96594, 3501968.32857",243642.904917756
"80","4","5","39","1","1","0","4683968.96594, 3451968.32857","4883968.96594, 3501968.32857",251119.008796701
"81","4","6","40","1","1","0","4683968.96594, 3426968.32857","4883968.96594, 3501968.32857",268553.230274548
"82","4","7","41","1","1","0","4683968.96594, 3401968.32857","4883968.96594, 3501968.32857",271514.70556566
"83","4","8","42","1","1","0","4683968.96594, 3376968.32857","4883968.96594, 3501968.32857",309744.347454075
"84","4","9","43","1","1","0","4683968.96594, 3351968.32857","4883968.96594, 3501968.32857",319546.982809608
"85","4","10","44","1","1","0","4683968.96594, 3326968.32857","4883968.96594, 3501968.32857",300612.184207066
"86","4","11","45","1","1","0","4683968.96594, 3301968.32857","4883968.96594, 3501968.32857",316169.590855106
"87","4","12","46","1","1","0","4683968.96594, 3276968.32857","4883968.96594, 3501968.32857",362693.736715216
"88","4","13","47","1","1","0","4683968.96594, 3251968.32857","4883968.96594, 3501968.32857",401850.935552374
"89","4","14","48","1","1","0","4683968.96594, 3226968.32857","4883968.96594, 3501968.32857",461946.396109876
"90","4","15","49","1","1","0","4683968.96594, 3201968.32857","4883968.96594, 3501968.32857",478978.668161164
"91","4","16","50","1","1","0","4683968.96594, 3176968.32857","4883968.96594, 3501968.32857",511427.230914821
"92","4","17","51","1","1","0","4683968.96594, 3151968.32857","4883968.96594, 3501968.32857",534954.930199084
"93","4","18","52","1","1","0","4683968.96594, 3126968.32857","4883968.96594, 3501968.32857",547544.750203246
"94","4","19","53","1","1","0","4684276.75584, 3102615.25746","4883968.96594, 3501968.32857",587654.255168537
"95","4","20","54","0","0","0","4695189.60349, 3089277.30281","4883968.96594, 3501968.32857",597281.488336635
"103","5","3","55","0","0","0","4711409.40773, 3494873.14087","4883968.96594, 3501968.32857",212870.339475079
"104","5","4","56","1","1","0","4708968.96594, 3476968.32857","4883968.96594, 3501968.32857",215631.25461402
"105","5","5","57","1","1","0","4708968.96594, 3451968.32857","4883968.96594, 3501968.32857",229250.282984102
"106","5","6","58","0","1","0","4708968.96594, 3426968.32857","4883968.96594, 3501968.32857",249176.117306211
"107","5","7","59","1","1","0","4708968.96594, 3401968.32857","4883968.96594, 3501968.32857",248157.626874487
"108","5","8","60","1","1","0","4708968.96594, 3376968.32857","4883968.96594, 3501968.32857",283612.052483899
"109","5","9","61","0","1","0","4708968.96594, 3351968.32857","4883968.96594, 3501968.32857",298228.866390567
"110","5","10","62","1","1","0","4708968.96594, 3326968.32857","4883968.96594, 3501968.32857",286113.463899991
