id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"3","1","3","1","1","1","0","4622669.62503, 3444801.39719","4888804.42546, 3496273.76387",403292.382413253
"4","1","4","2","1","1","0","4623357.3748, 3407854.00295","4888804.42546, 3496273.76387",381453.021228066
"5","1","5","3","1","1","0","4627263.36665, 3362591.92436","4888804.42546, 3496273.76387",349956.926023716
"6","1","6","4","1","1","0","4623589.71749, 3316961.44187","4888804.42546, 3496273.76387",397781.767245079
"7","1","7","5","1","1","0","4635729.04109, 3272317.36512","4888804.42546, 3496273.76387",371955.327671503
"8","1","8","6","0","0","0","4639132.20027, 3248148.07645","4888804.42546, 3496273.76387",417170.718965567
"9","1","9","7","1","1","0","4641351.19413, 3188809.90827","4888804.42546, 3496273.76387",504568.600425094
"16","2","2","8","0","0","0","4675854.5672, 3479292.84592","4888804.42546, 3496273.76387",251094.852054081
"17","2","3","9","1","1","0","4664327.84508, 3451562.05496","4888804.42546, 3496273.76387",274549.493768607
"18","2","4","10","1","1","0","4663968.96594, 3406968.32857","4888804.42546, 3496273.76387",323692.14988942
"19","2","5","11","1","1","0","4663968.96594, 3361968.32857","4888804.42546, 3496273.76387",318155.605087561
"20","2","6","12","1","1","0","4663968.96594, 3316968.32857","4888804.42546, 3496273.76387",321571.63729261
"21","2","7","13","1","1","0","4663968.96594, 3271968.32857","4888804.42546, 3496273.76387",404803.534972731
"22","2","8","14","1","1","0","4664515.19416, 3226911.02785","4888804.42546, 3496273.76387",471520.195704309
"23","2","9","15","1","1","0","4666362.90269, 3184019.27938","4888804.42546, 3496273.76387",504491.605118311
"24","2","10","16","1","1","0","4676855.78942, 3137733.99877","4888804.42546, 3496273.76387",528911.166894864
"25","2","11","17","1","1","0","4677903.77278, 3103145.35789","4888804.42546, 3496273.76387",572213.017581441
"30","3","2","18","1","1","0","4712074.23048, 3487524.23039","4888804.42546, 3496273.76387",220322.286611403
"31","3","3","19","1","1","0","4708968.96594, 3451968.32857","4888804.42546, 3496273.76387",236702.230120426
"32","3","4","20","1","1","0","4708968.96594, 3406968.32857","4888804.42546, 3496273.76387",240705.679737773
"33","3","5","21","1","1","0","4708968.96594, 3361968.32857","4888804.42546, 3496273.76387",272211.263785426
"34","3","6","22","1","1","0","4708968.96594, 3316968.32857","4888804.42546, 3496273.76387",277983.409439356
"35","3","7","23","1","1","0","4708968.96594, 3271968.32857","4888804.42546, 3496273.76387",370433.959474678
"36","3","8","24","1","1","0","4708968.96594, 3226968.32857","4888804.42546, 3496273.76387",463315.750577403
"37","3","9","25","1","1","0","4708968.96594, 3181968.32857","4888804.42546, 3496273.76387",513665.081762369
"38","3","10","26","1","1","0","4708968.96594, 3136968.32857","4888804.42546, 3496273.76387",490858.292700883
"39","3","11","27","1","1","0","4709887.22674, 3100680.02788","4888804.42546, 3496273.76387",567510.573331371
"43","4","1","28","0","0","0","4768855.99917, 3522928.61786","4888804.42546, 3496273.76387",156028.467571378
"44","4","2","29","1","1","0","4754850.53794, 3495851.71083","4888804.42546, 3496273.76387",165348.483290237
"45","4","3","30","1","1","0","4753968.96594, 3451968.32857","4888804.42546, 3496273.76387",190415.479510832
"46","4","4","31","1","1","0","4753968.96594, 3406968.32857","4888804.42546, 3496273.76387",193567.457288199
"47","4","5","32","1","1","0","4753968.96594, 3361968.32857","4888804.42546, 3496273.76387",218811.201931298
"48","4","6","33","0","1","0","4753968.96594, 3316968.32857","4888804.42546, 3496273.76387",286442.903139484
"49","4","7","34","1","1","0","4753968.96594, 3271968.32857","4888804.42546, 3496273.76387",314576.563006096
"50","4","8","35","1","1","0","4753968.96594, 3226968.32857","4888804.42546, 3496273.76387",363861.423266177
"51","4","9","36","1","1","0","4753968.96594, 3181968.32857","4888804.42546, 3496273.76387",406714.036531711
"52","4","10","37","1","1","0","4753968.96594, 3136968.32857","4888804.42546, 3496273.76387",456622.559682296
"53","4","11","38","1","1","0","4755410.37999, 3096379.39108","4888804.42546, 3496273.76387",519429.992441581
"54","4","12","39","1","0","0","4771536.60759, 3058606.90176","4888804.42546, 3496273.76387",542076.963930251
