id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"71","6","1","53","1","1","0","4844017.99637, 3538248.33923","4888804.42546, 3496273.76387",14232.9979548214
"72","6","2","54","1","1","0","4843968.96594, 3496968.32857","4888804.42546, 3496273.76387",8674.5736837097
"73","6","3","55","1","1","0","4843968.96594, 3451968.32857","4888804.42546, 3496273.76387",45551.5231012439
"74","6","4","56","1","1","0","4843968.96594, 3406968.32857","4888804.42546, 3496273.76387",146912.875279382
"75","6","5","57","1","1","1","4843968.96594, 3361968.32857","4888804.42546, 3496273.76387",174652.149054575
"76","6","6","58","1","1","0","4843968.96594, 3316968.32857","4888804.42546, 3496273.76387",178094.316185207
"77","6","7","59","1","1","0","4843968.96594, 3271968.32857","4888804.42546, 3496273.76387",178094.316185207
"78","6","8","60","1","1","0","4843968.96594, 3226968.32857","4888804.42546, 3496273.76387",262831.065525181
"79","6","9","61","1","1","0","4843968.96594, 3181968.32857","4888804.42546, 3496273.76387",262831.065525181
"80","6","10","62","1","1","0","4843968.96594, 3136968.32857","4888804.42546, 3496273.76387",920562.128751366
"81","6","11","63","1","1","0","4843968.96594, 3091968.32857","4888804.42546, 3496273.76387",920562.128751366
"82","6","12","64","1","1","0","4846826.79617, 3064482.48857","4888804.42546, 3496273.76387",922558.77109228
"85","7","1","65","1","1","0","4871763.85049, 3527485.6823","4888804.42546, 3496273.76387",14232.9979548214
"86","7","2","66","1","1","1","4888804.42546, 3496273.76387",,
"87","7","3","67","1","1","1","4888968.96594, 3451968.32857","4888804.42546, 3496273.76387",70061.6821817477
"88","7","4","68","1","1","1","4888968.96594, 3406968.32857","4888804.42546, 3496273.76387",125654.029724753
"89","7","5","69","1","1","1","4888968.96594, 3361968.32857","4888804.42546, 3496273.76387",200263.154147264
"90","7","6","70","1","1","0","4888968.96594, 3316968.32857","4888804.42546, 3496273.76387",227451.222833522
"91","7","7","71","1","1","0","4888968.96594, 3271968.32857","4888804.42546, 3496273.76387",262831.065525181
"92","7","8","72","1","1","0","4888968.96594, 3226968.32857","4888804.42546, 3496273.76387",262831.065525181
"93","7","9","73","1","1","0","4888968.96594, 3181968.32857","4888804.42546, 3496273.76387",264872.380779168
"94","7","10","74","1","1","0","4888968.96594, 3136968.32857","4888804.42546, 3496273.76387",883054.98472111
"95","7","11","75","1","1","0","4888968.96594, 3091968.32857","4888804.42546, 3496273.76387",920562.128751366
"96","7","12","76","1","1","0","4890719.73573, 3047948.19335","4888804.42546, 3496273.76387",920562.128751366
"97","7","13","77","1","1","0","4893527.61598, 3020723.91643","4888804.42546, 3496273.76387",922558.77109228
"99","8","1","78","0","0","0","4942581.45811, 3521153.17146","4888804.42546, 3496273.76387",17066.2349702933
"100","8","2","79","1","1","0","4933980.33319, 3496956.31802","4888804.42546, 3496273.76387",18872.1937702434
"101","8","3","80","1","1","0","4933968.96594, 3451968.32857","4888804.42546, 3496273.76387",63302.1880884163
"102","8","4","81","1","1","0","4933968.96594, 3406968.32857","4888804.42546, 3496273.76387",112281.538095141
"103","8","5","82","1","1","1","4933968.96594, 3361968.32857","4888804.42546, 3496273.76387",240561.625213719
"104","8","6","83","1","1","1","4933968.96594, 3316968.32857","4888804.42546, 3496273.76387",267592.404522511
"105","8","7","84","1","1","0","4933968.96594, 3271968.32857","4888804.42546, 3496273.76387",279202.524091278
"106","8","8","85","1","1","0","4933968.96594, 3226968.32857","4888804.42546, 3496273.76387",319443.035274074
"107","8","9","86","1","1","0","4933968.96594, 3181968.32857","4888804.42546, 3496273.76387",319443.035274074
"108","8","10","87","1","1","0","4933968.96594, 3136968.32857","4888804.42546, 3496273.76387",881247.096966986
"109","8","11","88","1","1","0","4933968.96594, 3091968.32857","4888804.42546, 3496273.76387",883054.98472111
"110","8","12","89","1","1","0","4933968.96594, 3046968.32857","4888804.42546, 3496273.76387",918225.549371175
"111","8","13","90","1","1","1","4942933.79243, 3011019.9797","4888804.42546, 3496273.76387",924437.684569531
"112","8","14","91","0","0","0","4956461.41609, 2979457.00537","4888804.42546, 3496273.76387",953845.062716468
"113","9","1","92","1","1","0","4979093.88947, 3521750.28131","4888804.42546, 3496273.76387",17066.2349702933
"114","9","2","93","1","1","0","4978968.96594, 3496968.32857","4888804.42546, 3496273.76387",18872.1937702434
"115","9","3","94","1","1","0","4978968.96594, 3451968.32857","4888804.42546, 3496273.76387",63302.1880884163
"116","9","4","95","1","1","0","4978968.96594, 3406968.32857","4888804.42546, 3496273.76387",107953.855256928
"117","9","5","96","1","1","0","4978968.96594, 3361968.32857","4888804.42546, 3496273.76387",291770.834963212
"118","9","6","97","1","1","1","4978968.96594, 3316968.32857","4888804.42546, 3496273.76387",311580.804732244
"119","9","7","98","1","1","0","4978968.96594, 3271968.32857","4888804.42546, 3496273.76387",341475.889407909
"120","9","8","99","1","1","0","4978968.96594, 3226968.32857","4888804.42546, 3496273.76387",341475.889407909
"121","9","9","100","1","1","0","4978968.96594, 3181968.32857","4888804.42546, 3496273.76387",341475.889407909
"122","9","10","101","1","1","0","4978968.96594, 3136968.32857","4888804.42546, 3496273.76387",877894.211812661
"123","9","11","102","1","1","0","4978968.96594, 3091968.32857","4888804.42546, 3496273.76387",877894.211812661
"124","9","12","103","1","1","1","4978968.96594, 3046968.32857","4888804.42546, 3496273.76387",877894.211812661
"125","9","13","104","1","1","1","4978968.96594, 3001968.32857","4888804.42546, 3496273.76387",967139.007904981
"126","9","14","105","1","1","0","4984098.56584, 2974032.16416","4888804.42546, 3496273.76387",967139.007904981
"127","10","1","106","1","0","0","5024089.86206, 3521826.28603","4888804.42546, 3496273.76387",17066.2349702933
"128","10","2","107","1","1","0","5023968.96594, 3496968.32857","4888804.42546, 3496273.76387",18872.1937702434
"129","10","3","108","1","1","0","5023968.96594, 3451968.32857","4888804.42546, 3496273.76387",63302.1880884163
