id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE
12,1,12,1,False,False,False
13,1,13,2,False,False,False
14,1,14,3,True,True,False
15,1,15,4,False,False,False
16,1,16,5,False,False,False
17,1,17,6,False,False,False
24,1,24,7,False,False,False
25,1,25,8,False,False,False
26,1,26,9,False,False,False
27,1,27,10,False,False,False
73,2,11,11,False,False,False
74,2,12,12,False,False,False
75,2,13,13,False,False,False
76,2,14,14,True,True,False
77,2,15,15,False,False,False
78,2,16,16,False,False,False
79,2,17,17,False,False,False
80,2,18,18,False,False,False
81,2,19,19,True,True,False
82,2,20,20,True,True,False
83,2,21,21,True,False,False
84,2,22,22,True,False,False
85,2,23,23,True,False,False
86,2,24,24,True,False,False
87,2,25,25,False,False,False
88,2,26,26,False,False,False
89,2,27,27,False,False,False
135,3,11,28,False,False,False
136,3,12,29,False,False,False
137,3,13,30,False,False,False
138,3,14,31,True,True,False
139,3,15,32,False,False,False
140,3,16,33,False,False,False
141,3,17,34,False,True,False
142,3,18,35,False,True,False
143,3,19,36,True,True,False
144,3,20,37,True,True,False
145,3,21,38,True,True,False
146,3,22,39,True,True,False
147,3,23,40,True,True,False
148,3,24,41,True,True,False
149,3,25,42,True,True,False
150,3,26,43,True,True,False
151,3,27,44,True,True,False
152,3,28,45,False,False,False
196,4,10,46,False,False,False
197,4,11,47,False,False,False
198,4,12,48,False,False,False
199,4,13,49,False,True,False
200,4,14,50,True,True,False
201,4,15,51,True,False,False
202,4,16,52,True,False,False
203,4,17,53,False,False,False
204,4,18,54,False,True,False
205,4,19,55,True,True,False
206,4,20,56,True,True,False
207,4,21,57,True,False,False
208,4,22,58,True,False,False
209,4,23,59,False,False,False
210,4,24,60,True,False,False
211,4,25,61,False,False,False
212,4,26,62,False,False,False
213,4,27,63,True,True,False
214,4,28,64,True,True,False
215,4,29,65,True,True,False
216,4,30,66,True,False,False
217,4,31,67,True,True,False
218,4,32,68,True,True,False
258,5,10,69,False,False,False
259,5,11,70,False,False,False
260,5,12,71,False,False,False
261,5,13,72,False,True,False
262,5,14,73,False,True,False
263,5,15,74,False,True,False
264,5,16,75,True,True,False
265,5,17,76,True,True,False
266,5,18,77,True,True,False
267,5,19,78,True,True,False
268,5,20,79,True,True,False
269,5,21,80,False,False,False
270,5,22,81,True,False,False
271,5,23,82,True,False,False
272,5,24,83,True,False,False
273,5,25,84,True,False,False
274,5,26,85,True,False,False
275,5,27,86,True,False,False
276,5,28,87,True,True,False
277,5,29,88,True,True,False
278,5,30,89,True,True,False
279,5,31,90,True,True,False
280,5,32,91,True,False,False
281,5,33,92,False,False,False
282,5,34,93,False,True,False
283,5,35,94,False,True,False
284,5,36,95,True,True,False
285,5,37,96,False,False,False
286,5,38,97,True,True,False
287,5,39,98,True,False,False
319,6,9,99,False,False,False
320,6,10,100,False,False,False
321,6,11,101,False,False,False
322,6,12,102,False,False,False
323,6,13,103,False,False,False
324,6,14,104,False,False,False
325,6,15,105,False,False,False
326,6,16,106,True,False,False
327,6,17,107,True,True,False
328,6,18,108,False,False,False
329,6,19,109,False,False,False
330,6,20,110,True,True,False
331,6,21,111,False,False,False
332,6,22,112,False,False,False
333,6,23,113,True,False,False
334,6,24,114,True,False,False
335,6,25,115,True,False,False
336,6,26,116,False,False,False
337,6,27,117,False,True,False
338,6,28,118,False,True,False
339,6,29,119,True,False,False
340,6,30,120,False,False,False
341,6,31,121,True,True,False
342,6,32,122,True,True,False
343,6,33,123,True,False,False
344,6,34,124,False,False,False
345,6,35,125,True,True,False
346,6,36,126,True,True,False
347,6,37,127,False,True,False
348,6,38,128,False,True,False
349,6,39,129,True,False,False
350,6,40,130,True,False,False
381,7,9,131,False,False,False
382,7,10,132,False,False,False
383,7,11,133,False,False,False
384,7,12,134,False,True,False
385,7,13,135,False,True,False
386,7,14,136,False,True,False
387,7,15,137,True,True,False
388,7,16,138,True,True,False
389,7,17,139,False,True,False
390,7,18,140,False,False,False
391,7,19,141,True,True,False
392,7,20,142,True,True,False
393,7,21,143,False,True,False
394,7,22,144,False,False,False
395,7,23,145,False,False,False
396,7,24,146,True,False,False
397,7,25,147,True,False,False
398,7,26,148,True,False,False
399,7,27,149,False,True,False
400,7,28,150,True,False,False
401,7,29,151,True,False,False
402,7,30,152,False,False,False
403,7,31,153,True,True,False
404,7,32,154,False,True,False
405,7,33,155,True,True,False
406,7,34,156,True,True,False
407,7,35,157,True,True,False
408,7,36,158,False,False,False
409,7,37,159,False,False,False
410,7,38,160,False,False,False
411,7,39,161,True,False,False
412,7,40,162,True,False,False
413,7,41,163,True,False,False
414,7,42,164,False,False,False
443,8,9,165,False,False,False
444,8,10,166,False,False,False
445,8,11,167,False,True,False
446,8,12,168,False,True,False
447,8,13,169,False,True,False
448,8,14,170,True,True,False
449,8,15,171,True,True,False
450,8,16,172,False,False,False
451,8,17,173,False,False,False
452,8,18,174,True,True,False
453,8,19,175,True,True,False
454,8,20,176,True,True,False
455,8,21,177,False,True,False
456,8,22,178,False,True,False
457,8,23,179,False,False,False
458,8,24,180,False,False,False
459,8,25,181,False,False,False
460,8,26,182,True,True,False
