gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,57.51188000142061,48.019380742668226,24.244138927384526
10.0,52.31998318758096,42.332578936236324,20.465017809726746
15.0,49.134720199252314,40.866690437160294,22.932191313388863
20.0,47.940735349696844,37.454853559296076,23.694716126347796
25.0,45.6849642363234,35.8088024369139,17.167509864068453
30.0,41.980859511744,33.65178285739111,34.15958407444552
35.0,36.12438365814539,34.68972165160063,19.31520234467152
40.0,42.080673802102645,35.26307797961595,20.14807126536295
45.0,41.41284643739667,34.47034790364161,10.793248708063
50.0,41.53632461670338,33.40455581063259,20.70308392662016
