id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"2","1","2","1","0","0","0","4641854.24898, 3466565.83617","4871468.96594, 3489468.32857",2030.80318145507
"3","1","3","2","1","1","0","4624935.52586, 3437520.31466","4871468.96594, 3489468.32857",181295.91955683
"4","1","4","3","1","1","0","4627498.15712, 3390512.84221","4871468.96594, 3489468.32857",181295.91955683
"5","1","5","4","1","1","0","4628397.08304, 3337882.5379","4871468.96594, 3489468.32857",181295.91955683
"6","1","6","5","1","1","0","4630297.22925, 3295554.0536","4871468.96594, 3489468.32857",181295.91955683
"7","1","7","6","1","1","0","4640498.62895, 3248266.14146","4871468.96594, 3489468.32857",181295.91955683
"8","1","8","7","1","1","0","4644144.16843, 3197782.22352","4871468.96594, 3489468.32857",184738.086687462
"15","2","2","8","1","1","0","4676832.27879, 3474515.04346","4871468.96594, 3489468.32857",2030.80318145507
"16","2","3","9","1","1","0","4671468.96594, 3439468.32857","4871468.96594, 3489468.32857",169549.945301256
"17","2","4","10","1","1","0","4671468.96594, 3389468.32857","4871468.96594, 3489468.32857",181295.91955683
"18","2","5","11","1","1","0","4671468.96594, 3339468.32857","4871468.96594, 3489468.32857",181295.91955683
"19","2","6","12","1","1","0","4671468.96594, 3289468.32857","4871468.96594, 3489468.32857",181295.91955683
"20","2","7","13","1","1","0","4671468.96594, 3239468.32857","4871468.96594, 3489468.32857",181295.91955683
"21","2","8","14","1","1","0","4672200.8597, 3190161.92496","4871468.96594, 3489468.32857",184738.086687462
"22","2","9","15","1","1","0","4681410.54142, 3140486.8496","4871468.96594, 3489468.32857",184738.086687462
"23","2","10","16","1","1","0","4683136.66022, 3102724.88146","4871468.96594, 3489468.32857",929202.541594534
"27","3","1","17","0","0","0","4745189.17339, 3515050.02721","4871468.96594, 3489468.32857",2030.80318145507
"28","3","2","18","1","1","0","4723778.37184, 3485142.59872","4871468.96594, 3489468.32857",2030.80318145507
"29","3","3","19","1","1","0","4721468.96594, 3439468.32857","4871468.96594, 3489468.32857",169549.945301256
"30","3","4","20","1","1","0","4721468.96594, 3389468.32857","4871468.96594, 3489468.32857",181295.91955683
"31","3","5","21","1","1","0","4721468.96594, 3339468.32857","4871468.96594, 3489468.32857",181295.91955683
"32","3","6","22","1","1","0","4721468.96594, 3289468.32857","4871468.96594, 3489468.32857",181295.91955683
"33","3","7","23","1","1","0","4721468.96594, 3239468.32857","4871468.96594, 3489468.32857",184738.086687462
"34","3","8","24","1","1","0","4721468.96594, 3189468.32857","4871468.96594, 3489468.32857",184738.086687462
"35","3","9","25","1","1","0","4721468.96594, 3139468.32857","4871468.96594, 3489468.32857",927205.89925362
"36","3","10","26","1","1","0","4722530.42175, 3099736.12963","4871468.96594, 3489468.32857",929202.541594534
"40","4","1","27","1","1","0","4778692.88512, 3522664.17675","4871468.96594, 3489468.32857",2030.80318145507
"41","4","2","28","1","1","0","4771468.96594, 3489468.32857","4871468.96594, 3489468.32857",2030.80318145507
"42","4","3","29","1","1","0","4771468.96594, 3439468.32857","4871468.96594, 3489468.32857",169549.945301256
"43","4","4","30","1","1","0","4771468.96594, 3389468.32857","4871468.96594, 3489468.32857",181295.91955683
"44","4","5","31","1","1","0","4771468.96594, 3339468.32857","4871468.96594, 3489468.32857",181295.91955683
"45","4","6","32","1","1","0","4771468.96594, 3289468.32857","4871468.96594, 3489468.32857",184738.086687462
"46","4","7","33","1","1","0","4771468.96594, 3239468.32857","4871468.96594, 3489468.32857",184738.086687462
"47","4","8","34","1","1","0","4771468.96594, 3189468.32857","4871468.96594, 3489468.32857",184738.086687462
"48","4","9","35","1","1","0","4771468.96594, 3139468.32857","4871468.96594, 3489468.32857",927205.89925362
"49","4","10","36","1","1","0","4773693.62213, 3092084.61887","4871468.96594, 3489468.32857",929202.541594534
"50","4","11","37","1","1","0","4783832.75252, 3050964.64652","4871468.96594, 3489468.32857",929202.541594534
"53","5","1","38","1","1","0","4824111.46947, 3532986.13439","4871468.96594, 3489468.32857",7589.22745256679
"54","5","2","39","1","1","0","4821468.96594, 3489468.32857","4871468.96594, 3489468.32857",2030.80318145507
"55","5","3","40","1","1","0","4821468.96594, 3439468.32857","4871468.96594, 3489468.32857",149978.035813454
"56","5","4","41","1","1","0","4821468.96594, 3389468.32857","4871468.96594, 3489468.32857",169549.945301256
