id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"23","1","23","1","0","0","0","4600853.77166, 3449747.9502",,
"24","1","24","2","0","0","0","4599737.33304, 3446947.84316",,
"25","1","25","3","0","0","0","4600115.62785, 3442115.49778",,
"26","1","26","4","0","0","0","4600581.11263, 3437195.86506",,
"27","1","27","5","1","1","0","4601028.30073, 3432469.60698","4883968.96594, 3506968.32857",410747.366315075
"28","1","28","6","0","0","0","4601364.50536, 3428916.31511","4883968.96594, 3506968.32857",410747.366315075
"51","1","51","7","0","0","0","4601147.02548, 3310312.20232","4883968.96594, 3506968.32857",425770.717714438
"52","1","52","8","0","0","0","4600430.19602, 3306554.28045","4883968.96594, 3506968.32857",423531.116807973
"53","1","53","9","0","0","0","4600241.41885, 3303926.39977","4883968.96594, 3506968.32857",423531.116807973
"147","2","23","10","0","0","0","4604448.37996, 3450564.87118",,
"148","2","24","11","0","0","0","4603968.96594, 3446968.32857",,
"149","2","25","12","0","0","0","4603968.96594, 3441968.32857",,
"150","2","26","13","0","0","0","4603968.96594, 3436968.32857","4883968.96594, 3506968.32857",410747.366315075
"151","2","27","14","1","1","0","4603968.96594, 3431968.32857","4883968.96594, 3506968.32857",410747.366315075
"152","2","28","15","1","0","0","4604070.12238, 3427029.54857","4883968.96594, 3506968.32857",408935.256201113
"153","2","29","16","0","0","0","4604512.32937, 3422069.56872","4883968.96594, 3506968.32857",408935.256201113
"154","2","30","17","0","0","0","4604982.34379, 3417102.06304","4883968.96594, 3506968.32857",407143.047291072
"155","2","31","18","0","0","0","4605449.4517, 3412165.27574","4883968.96594, 3506968.32857",392933.03608255
"156","2","32","19","0","0","0","4605905.83729, 3407341.81078","4883968.96594, 3506968.32857",392933.03608255
"157","2","33","20","0","0","0","4606274.80187, 3403442.28435","4883968.96594, 3506968.32857",392933.03608255
"172","2","48","21","0","0","0","4606387.8744, 3324680.88658",,
"173","2","49","22","0","0","0","4605743.7957, 3321304.35477","4883968.96594, 3506968.32857",398824.761762088
"174","2","50","23","0","0","0","4604867.85746, 3316712.31766","4883968.96594, 3506968.32857",409280.577047775
"175","2","51","24","0","0","0","4604075.55103, 3311886.55504","4883968.96594, 3506968.32857",425770.717714438
"176","2","52","25","0","0","0","4603968.96594, 3306968.32857","4883968.96594, 3506968.32857",423531.116807973
"177","2","53","26","0","0","0","4604272.59521, 3303231.91846","4883968.96594, 3506968.32857",420465.333692235
"270","3","22","27","0","0","0","4611187.2641, 3454596.3693","4883968.96594, 3506968.32857",398182.822017816
"271","3","23","28","0","0","0","4609176.52126, 3451620.14962","4883968.96594, 3506968.32857",398182.822017816
"272","3","24","29","0","0","0","4608968.96594, 3446968.32857","4883968.96594, 3506968.32857",398182.822017816
"273","3","25","30","0","0","0","4608968.96594, 3441968.32857","4883968.96594, 3506968.32857",398182.822017816
"274","3","26","31","0","0","0","4608968.96594, 3436968.32857","4883968.96594, 3506968.32857",400977.683436144
"275","3","27","32","1","1","0","4608968.96594, 3431968.32857","4883968.96594, 3506968.32857",400977.683436144
"276","3","28","33","1","0","0","4608968.96594, 3426968.32857","4883968.96594, 3506968.32857",405393.79189704
"277","3","29","34","0","0","0","4608968.96594, 3421968.32857","4883968.96594, 3506968.32857",405393.79189704
"278","3","30","35","0","0","0","4608968.96594, 3416968.32857","4883968.96594, 3506968.32857",405393.79189704
"279","3","31","36","0","0","0","4608968.96594, 3411968.32857","4883968.96594, 3506968.32857",392933.03608255
"280","3","32","37","0","0","0","4608968.96594, 3406968.32857","4883968.96594, 3506968.32857",392933.03608255
"281","3","33","38","0","0","0","4609002.6905, 3401994.68952","4883968.96594, 3506968.32857",392933.03608255
"282","3","34","39","0","0","0","4609378.39334, 3397063.02457","4883968.96594, 3506968.32857",388691.49284469
"283","3","35","40","0","0","0","4609848.84705, 3392090.87597","4883968.96594, 3506968.32857",385885.050083071
"284","3","36","41","0","0","0","4610317.10478, 3387141.93643","4883968.96594, 3506968.32857",385885.050083071
"285","3","37","42","1","0","0","4610778.46098, 3382265.93805","4883968.96594, 3506968.32857",370100.244933848
"286","3","38","43","1","1","0","4611185.09838, 3377968.25359","4883968.96594, 3506968.32857",370100.244933848
