id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"141","4","15","50","1","0","0","4648968.96594, 3346968.32857","4873968.96594, 3511968.32857",329958.346761284
"142","4","16","51","1","0","0","4648968.96594, 3331968.32857","4873968.96594, 3511968.32857",389162.875253913
"143","4","17","52","1","0","0","4648968.96594, 3316968.32857","4873968.96594, 3511968.32857",353785.455466494
"144","4","18","53","1","1","0","4648968.96594, 3301968.32857","4873968.96594, 3511968.32857",353785.455466494
"145","4","19","54","1","1","0","4648968.96594, 3286968.32857","4873968.96594, 3511968.32857",361003.835378035
"146","4","20","55","0","1","0","4648968.96594, 3271968.32857","4873968.96594, 3511968.32857",390078.789026221
"147","4","21","56","1","1","0","4648968.96594, 3256968.32857","4873968.96594, 3511968.32857",404167.574766495
"148","4","22","57","1","0","0","4649584.75897, 3242160.5052","4873968.96594, 3511968.32857",437342.221132084
"149","4","23","58","0","1","0","4649625.65726, 3226912.40505","4873968.96594, 3511968.32857",452515.875608782
"150","4","24","59","1","1","0","4649319.59569, 3211914.79986","4873968.96594, 3511968.32857",470526.705948591
"151","4","25","60","1","1","0","4649032.84438, 3196931.43689","4873968.96594, 3511968.32857",519744.176972309
"152","4","26","61","1","1","0","4650225.96894, 3182996.26046","4873968.96594, 3511968.32857",526158.359715214
"153","4","27","62","1","0","0","4654343.11169, 3171718.95396","4873968.96594, 3511968.32857",546426.921308077
"174","5","6","63","0","0","0","4665975.77384, 3477047.76303","4873968.96594, 3511968.32857",240816.073239812
"175","5","7","64","0","0","0","4663968.96594, 3466968.32857","4873968.96594, 3511968.32857",247350.936159138
"176","5","8","65","0","1","0","4663968.96594, 3451968.32857","4873968.96594, 3511968.32857",254788.026349873
"177","5","9","66","0","1","0","4663968.96594, 3436968.32857","4873968.96594, 3511968.32857",269744.406385899
"178","5","10","67","1","1","0","4663968.96594, 3421968.32857","4873968.96594, 3511968.32857",289463.9379155
"179","5","11","68","1","1","0","4663968.96594, 3406968.32857","4873968.96594, 3511968.32857",303930.682470686
"180","5","12","69","0","0","0","4663968.96594, 3391968.32857","4873968.96594, 3511968.32857",293463.020138283
"181","5","13","70","1","1","0","4663968.96594, 3376968.32857","4873968.96594, 3511968.32857",307091.270211094
"182","5","14","71","1","1","0","4663968.96594, 3361968.32857","4873968.96594, 3511968.32857",328146.263294976
"183","5","15","72","0","0","0","4663968.96594, 3346968.32857","4873968.96594, 3511968.32857",336411.184448521
"184","5","16","73","1","0","0","4663968.96594, 3331968.32857","4873968.96594, 3511968.32857",331369.916221829
"185","5","17","74","1","0","0","4663968.96594, 3316968.32857","4873968.96594, 3511968.32857",331562.295500043
"186","5","18","75","1","1","0","4663968.96594, 3301968.32857","4873968.96594, 3511968.32857",339692.747817876
"187","5","19","76","1","0","0","4663968.96594, 3286968.32857","4873968.96594, 3511968.32857",343245.329701199
"188","5","20","77","0","0","0","4663968.96594, 3271968.32857","4873968.96594, 3511968.32857",414794.193180164
"189","5","21","78","1","1","0","4663968.96594, 3256968.32857","4873968.96594, 3511968.32857",418520.384552006
"190","5","22","79","1","1","0","4663968.96594, 3241968.32857","4873968.96594, 3511968.32857",428098.648656421
"191","5","23","80","1","1","0","4663968.96594, 3226968.32857","4873968.96594, 3511968.32857",481510.853911742
"192","5","24","81","1","0","0","4663968.96594, 3211968.32857","4873968.96594, 3511968.32857",479187.49298935
"193","5","25","82","0","1","0","4663968.96594, 3196968.32857","4873968.96594, 3511968.32857",533906.414846808
"194","5","26","83","1","1","0","4663968.96594, 3181968.32857","4873968.96594, 3511968.32857",521946.49920078
"195","5","27","84","1","0","0","4664458.48265, 3167414.46612","4873968.96594, 3511968.32857",519928.23155084
"196","5","28","85","0","0","0","4668417.55791, 3153254.06633","4873968.96594, 3511968.32857",562243.857233869
"197","5","29","86","1","1","0","4669615.38776, 3137157.22806","4873968.96594, 3511968.32857",554449.64716055
