gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,28.03567255283385,20.563928741964535,8.690420912720342
10.0,23.776122840685456,16.143889111560192,8.733087015215546
15.0,21.29399395608904,14.970724448354384,9.750443562837246
20.0,20.24190493673658,12.705785976542234,13.49524202006519
25.0,18.55441497113762,11.423320259221514,11.375800455029113
30.0,15.77430878000869,10.412298781658462,22.19802665693144
35.0,12.68843071367376,12.054017302297307,11.171344672845555
40.0,15.720054273154961,12.116797341953335,13.846721253600245
45.0,15.130706519590138,11.678693410482506,13.841829006955424
50.0,15.295889959686885,11.983842809229374,17.933457555465758
