gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,47.681858977513,38.813980964576075,17.54766997513584
10.0,42.79998423835713,33.51506305939694,14.528881760085405
15.0,39.83039947167786,32.15025130891572,16.78288811775641
20.0,38.69443939034081,29.0390934253456,17.95840651067838
25.0,36.61304004494436,27.513833427613193,11.923981475857362
30.0,33.18781894150322,25.562282712522585,27.82872200768842
35.0,28.082253066411795,26.60917319316099,13.637069205634381
40.0,33.200631689471244,27.125244804757266,15.03474915467337
45.0,32.59777316189672,26.478770512581352,8.229128424322683
50.0,32.774763787618895,25.78377957246123,16.067000718583895
