id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"3","1","3","1","0","0","0","4621529.5313, 3451949.0675","4896296.93958, 3501495.06247",155468.005017781
"4","1","4","2","1","1","0","4619215.89836, 3425202.49976","4896296.93958, 3501495.06247",167213.979273355
"5","1","5","3","1","1","0","4622980.98841, 3385409.8771","4896296.93958, 3501495.06247",167213.979273355
"6","1","6","4","1","1","0","4624279.89531, 3343251.03187","4896296.93958, 3501495.06247",167213.979273355
"7","1","7","5","1","1","0","4621115.36675, 3309034.26741","4896296.93958, 3501495.06247",167213.979273355
"8","1","8","6","1","1","0","4633275.13123, 3267299.89267","4896296.93958, 3501495.06247",167213.979273355
"19","2","3","7","0","1","0","4658434.19919, 3460333.84317","4896296.93958, 3501495.06247",155468.005017781
"20","2","4","8","1","1","0","4656468.96594, 3424468.32857","4896296.93958, 3501495.06247",167213.979273355
"21","2","5","9","1","1","0","4656468.96594, 3384468.32857","4896296.93958, 3501495.06247",167213.979273355
"22","2","6","10","1","1","0","4656468.96594, 3344468.32857","4896296.93958, 3501495.06247",167213.979273355
"23","2","7","11","1","1","0","4656468.96594, 3304468.32857","4896296.93958, 3501495.06247",167213.979273355
"24","2","8","12","1","1","0","4656616.53586, 3264624.15741","4896296.93958, 3501495.06247",167213.979273355
"25","2","9","13","1","1","0","4659572.3734, 3224307.40806","4896296.93958, 3501495.06247",167213.979273355
"26","2","10","14","1","1","0","4660672.00691, 3186273.43598","4896296.93958, 3501495.06247",170656.146403987
"27","2","11","15","1","1","0","4670915.99907, 3147037.23918","4896296.93958, 3501495.06247",170656.146403987
"28","2","12","16","1","1","0","4672660.68079, 3108854.83869","4896296.93958, 3501495.06247",915120.601311059
"34","3","2","17","0","0","0","4703188.21875, 3490504.7699","4896296.93958, 3501495.06247",16112.7434649299
"35","3","3","18","1","1","0","4696469.03646, 3464468.25795","4896296.93958, 3501495.06247",16112.7434649299
"36","3","4","19","1","1","0","4696468.96594, 3424468.32857","4896296.93958, 3501495.06247",155468.005017781
"37","3","5","20","1","1","0","4696468.96594, 3384468.32857","4896296.93958, 3501495.06247",167213.979273355
"38","3","6","21","1","1","0","4696468.96594, 3344468.32857","4896296.93958, 3501495.06247",167213.979273355
"39","3","7","22","1","1","0","4696468.96594, 3304468.32857","4896296.93958, 3501495.06247",167213.979273355
"40","3","8","23","1","1","0","4696468.96594, 3264468.32857","4896296.93958, 3501495.06247",167213.979273355
"41","3","9","24","1","1","0","4696468.96594, 3224468.32857","4896296.93958, 3501495.06247",170656.146403987
