gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,8.654078709945663,5.410123503901162,17.729620759978797
10.0,5.201071997095427,5.458791992047753,18.29508732455853
15.0,3.982788892255022,6.380062552124055,18.988231003227867
20.0,3.173305219653306,6.962865731325932,23.0171346228499
25.0,3.6190192343914402,7.604608210021508,22.20664434710089
30.0,4.04457796764862,8.79320987561764,28.666334870451003
35.0,7.402795431885781,9.682115133317987,19.58951081373539
40.0,3.549665533194067,8.79587886994794,21.467837105564033
45.0,4.013285257040899,9.24572878935649,26.075402973089403
50.0,4.209505550255241,9.892791014622413,27.589025656794455
