gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,37.85363934838516,29.640458017216698,11.664409163820313
10.0,33.28103551775053,24.781075020913516,9.789711294418844
15.0,30.53724942682077,23.495168616712405,11.396622087919555
20.0,29.455209909046054,20.716953873675642,13.538129607097476
25.0,27.58017672313882,19.310422974600325,8.652990454999026
30.0,24.457191829154162,17.7480497634834,22.989680301148503
35.0,20.170388000844078,18.892494685685605,10.114132674089626
40.0,24.36764250939128,19.228471381616895,12.161532712352718
45.0,23.83367919352786,18.746910373545884,9.092101942631649
50.0,24.013202958534375,18.6103382706062,15.068164048677884
