gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,18.256631606652174,11.72005748430304,11.419388040585392
10.0,14.322559262687962,8.218770314954604,12.36737151133571
15.0,12.159492063949406,7.6021207183761375,13.481221688125455
20.0,11.130468059852873,6.395229825016339,17.59139130681323
25.0,9.624386067716658,5.756207963641696,16.294669190878125
30.0,7.516092860927496,5.7512573167109675,24.946223185918825
35.0,6.668687961856736,7.486405282052914,14.911754775522562
40.0,7.358586865558642,7.268799281618388,17.135921992402253
45.0,6.941609976908101,6.935216876441193,19.800484300734773
50.0,7.093989095306161,7.802365129541529,22.587237475396325
