gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,4.0517732203317,8.662451494851195,24.893219279734044
10.0,5.689775208375538,11.361689779867023,25.4468900704471
15.0,7.4739138367951385,12.750756115739442,25.60297588834677
20.0,7.973907666082687,14.365967719565662,29.645742049924632
25.0,9.570799784462752,15.459502871867844,28.81383395684116
30.0,11.300952223979108,16.880659776780487,33.05627715728958
35.0,15.520880409746033,16.97173893649671,26.079623121303076
40.0,11.204684358249056,15.914242828196326,27.260323294620505
45.0,11.63232819444754,16.86094082940457,32.795820884626735
50.0,11.552468227926372,17.275131651592822,32.89996258404211
