id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"23","1","23","1","0","0","0","4600853.77166, 3449747.9502","4883968.96594, 3506968.32857",330560.27239644
"24","1","24","2","0","0","0","4599737.33304, 3446947.84316","4883968.96594, 3506968.32857",330560.27239644
"25","1","25","3","0","0","0","4600115.62785, 3442115.49778","4883968.96594, 3506968.32857",330560.27239644
"26","1","26","4","0","0","0","4600581.11263, 3437195.86506","4883968.96594, 3506968.32857",330560.27239644
"27","1","27","5","1","1","0","4601028.30073, 3432469.60698","4883968.96594, 3506968.32857",328062.582832717
"28","1","28","6","0","0","0","4601364.50536, 3428916.31511","4883968.96594, 3506968.32857",328062.582832717
"51","1","51","7","0","0","0","4601147.02548, 3310312.20232","4883968.96594, 3506968.32857",404596.729939138
"52","1","52","8","0","0","0","4600430.19602, 3306554.28045","4883968.96594, 3506968.32857",414483.956684232
"53","1","53","9","0","0","0","4600241.41885, 3303926.39977","4883968.96594, 3506968.32857",414393.242375187
"147","2","23","10","0","0","0","4604448.37996, 3450564.87118","4883968.96594, 3506968.32857",309098.854976102
"148","2","24","11","0","0","0","4603968.96594, 3446968.32857","4883968.96594, 3506968.32857",312802.358999481
"149","2","25","12","0","0","0","4603968.96594, 3441968.32857","4883968.96594, 3506968.32857",330560.27239644
"150","2","26","13","0","0","0","4603968.96594, 3436968.32857","4883968.96594, 3506968.32857",328062.582832717
"151","2","27","14","1","1","0","4603968.96594, 3431968.32857","4883968.96594, 3506968.32857",325915.321288013
"152","2","28","15","1","0","0","4604070.12238, 3427029.54857","4883968.96594, 3506968.32857",328530.72431141
"153","2","29","16","0","0","0","4604512.32937, 3422069.56872","4883968.96594, 3506968.32857",330754.56581177
"154","2","30","17","0","0","0","4604982.34379, 3417102.06304","4883968.96594, 3506968.32857",397787.543700578
"155","2","31","18","0","0","0","4605449.4517, 3412165.27574","4883968.96594, 3506968.32857",395956.551373951
"156","2","32","19","0","0","0","4605905.83729, 3407341.81078","4883968.96594, 3506968.32857",394034.325193841
"157","2","33","20","0","0","0","4606274.80187, 3403442.28435","4883968.96594, 3506968.32857",389189.892718687
"172","2","48","21","0","0","0","4606387.8744, 3324680.88658","4883968.96594, 3506968.32857",389884.817059731
