id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"23","1","23","1","0","0","0","4600853.77166, 3449747.9502","4883968.96594, 3506968.32857",181295.91955683
"24","1","24","2","0","0","0","4599737.33304, 3446947.84316","4883968.96594, 3506968.32857",181295.91955683
"25","1","25","3","0","0","0","4600115.62785, 3442115.49778","4883968.96594, 3506968.32857",181295.91955683
"26","1","26","4","0","0","0","4600581.11263, 3437195.86506","4883968.96594, 3506968.32857",181295.91955683
"27","1","27","5","1","1","0","4601028.30073, 3432469.60698","4883968.96594, 3506968.32857",181295.91955683
"28","1","28","6","0","0","0","4601364.50536, 3428916.31511","4883968.96594, 3506968.32857",181295.91955683
"51","1","51","7","0","0","0","4601147.02548, 3310312.20232","4883968.96594, 3506968.32857",181295.91955683
"52","1","52","8","0","0","0","4600430.19602, 3306554.28045","4883968.96594, 3506968.32857",181295.91955683
"53","1","53","9","0","0","0","4600241.41885, 3303926.39977","4883968.96594, 3506968.32857",181295.91955683
"147","2","23","10","0","0","0","4604448.37996, 3450564.87118","4883968.96594, 3506968.32857",169549.945301256
"148","2","24","11","0","0","0","4603968.96594, 3446968.32857","4883968.96594, 3506968.32857",181295.91955683
"149","2","25","12","0","0","0","4603968.96594, 3441968.32857","4883968.96594, 3506968.32857",181295.91955683
"150","2","26","13","0","0","0","4603968.96594, 3436968.32857","4883968.96594, 3506968.32857",181295.91955683
"151","2","27","14","1","1","0","4603968.96594, 3431968.32857","4883968.96594, 3506968.32857",181295.91955683
"152","2","28","15","1","0","0","4604070.12238, 3427029.54857","4883968.96594, 3506968.32857",181295.91955683
"153","2","29","16","0","0","0","4604512.32937, 3422069.56872","4883968.96594, 3506968.32857",181295.91955683
"154","2","30","17","0","0","0","4604982.34379, 3417102.06304","4883968.96594, 3506968.32857",181295.91955683
"155","2","31","18","0","0","0","4605449.4517, 3412165.27574","4883968.96594, 3506968.32857",181295.91955683
"156","2","32","19","0","0","0","4605905.83729, 3407341.81078","4883968.96594, 3506968.32857",181295.91955683
"157","2","33","20","0","0","0","4606274.80187, 3403442.28435","4883968.96594, 3506968.32857",181295.91955683
"172","2","48","21","0","0","0","4606387.8744, 3324680.88658","4883968.96594, 3506968.32857",181295.91955683
"173","2","49","22","0","0","0","4605743.7957, 3321304.35477","4883968.96594, 3506968.32857",181295.91955683
"174","2","50","23","0","0","0","4604867.85746, 3316712.31766","4883968.96594, 3506968.32857",181295.91955683
"175","2","51","24","0","0","0","4604075.55103, 3311886.55504","4883968.96594, 3506968.32857",181295.91955683
"176","2","52","25","0","0","0","4603968.96594, 3306968.32857","4883968.96594, 3506968.32857",181295.91955683
"177","2","53","26","0","0","0","4604272.59521, 3303231.91846","4883968.96594, 3506968.32857",181295.91955683
"270","3","22","27","0","0","0","4611187.2641, 3454596.3693","4883968.96594, 3506968.32857",169549.945301256
"271","3","23","28","0","0","0","4609176.52126, 3451620.14962","4883968.96594, 3506968.32857",169549.945301256
"272","3","24","29","0","0","0","4608968.96594, 3446968.32857","4883968.96594, 3506968.32857",181295.91955683
"273","3","25","30","0","0","0","4608968.96594, 3441968.32857","4883968.96594, 3506968.32857",181295.91955683
"274","3","26","31","0","0","0","4608968.96594, 3436968.32857","4883968.96594, 3506968.32857",181295.91955683
"275","3","27","32","1","1","0","4608968.96594, 3431968.32857","4883968.96594, 3506968.32857",181295.91955683
"276","3","28","33","1","0","0","4608968.96594, 3426968.32857","4883968.96594, 3506968.32857",181295.91955683
"277","3","29","34","0","0","0","4608968.96594, 3421968.32857","4883968.96594, 3506968.32857",181295.91955683
"278","3","30","35","0","0","0","4608968.96594, 3416968.32857","4883968.96594, 3506968.32857",181295.91955683
"279","3","31","36","0","0","0","4608968.96594, 3411968.32857","4883968.96594, 3506968.32857",181295.91955683
"280","3","32","37","0","0","0","4608968.96594, 3406968.32857","4883968.96594, 3506968.32857",181295.91955683
"281","3","33","38","0","0","0","4609002.6905, 3401994.68952","4883968.96594, 3506968.32857",181295.91955683
"282","3","34","39","0","0","0","4609378.39334, 3397063.02457","4883968.96594, 3506968.32857",181295.91955683
"283","3","35","40","0","0","0","4609848.84705, 3392090.87597","4883968.96594, 3506968.32857",181295.91955683
"284","3","36","41","0","0","0","4610317.10478, 3387141.93643","4883968.96594, 3506968.32857",181295.91955683
"285","3","37","42","1","0","0","4610778.46098, 3382265.93805","4883968.96594, 3506968.32857",181295.91955683
"286","3","38","43","1","1","0","4611185.09838, 3377968.25359","4883968.96594, 3506968.32857",181295.91955683
"294","3","46","44","0","0","0","4610992.8848, 3335716.2375","4883968.96594, 3506968.32857",181295.91955683
"295","3","47","45","1","0","0","4610214.31759, 3331634.66033","4883968.96594, 3506968.32857",181295.91955683
"296","3","48","46","0","0","0","4609299.39293, 3326790.67007","4883968.96594, 3506968.32857",181295.91955683
"297","3","49","47","0","0","0","4608968.96594, 3321968.32857","4883968.96594, 3506968.32857",181295.91955683
"298","3","50","48","0","0","0","4608968.96594, 3316968.32857","4883968.96594, 3506968.32857",181295.91955683
"299","3","51","49","0","0","0","4608968.96594, 3311968.32857","4883968.96594, 3506968.32857",181295.91955683
"300","3","52","50","0","0","0","4608968.96594, 3306968.32857","4883968.96594, 3506968.32857",181295.91955683
"301","3","53","51","0","0","0","4609144.60513, 3302391.20025","4883968.96594, 3506968.32857",181295.91955683
"394","4","22","52","0","0","0","4614591.76643, 3455370.08626","4883968.96594, 3506968.32857",169549.945301256
"395","4","23","53","0","0","0","4613968.96594, 3451968.32857","4883968.96594, 3506968.32857",169549.945301256
"396","4","24","54","0","0","0","4613968.96594, 3446968.32857","4883968.96594, 3506968.32857",169549.945301256
"397","4","25","55","0","0","0","4613968.96594, 3441968.32857","4883968.96594, 3506968.32857",181295.91955683
"398","4","26","56","0","0","0","4613968.96594, 3436968.32857","4883968.96594, 3506968.32857",181295.91955683
"399","4","27","57","1","1","0","4613968.96594, 3431968.32857","4883968.96594, 3506968.32857",181295.91955683
"400","4","28","58","1","0","0","4613968.96594, 3426968.32857","4883968.96594, 3506968.32857",181295.91955683
"401","4","29","59","0","0","0","4613968.96594, 3421968.32857","4883968.96594, 3506968.32857",181295.91955683
