id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"5","1","5","1","0","0","0","4611299.45962, 3447159.41268","4883968.96594, 3501968.32857",179231.717606588
"6","1","6","2","1","1","0","4611501.81646, 3427465.09643","4883968.96594, 3501968.32857",179231.717606588
"7","1","7","3","0","1","0","4613852.54415, 3402620.6389","4883968.96594, 3501968.32857",179231.717606588
"8","1","8","4","1","1","0","4616189.85471, 3377917.98477","4883968.96594, 3501968.32857",179231.717606588
"9","1","9","5","1","1","0","4617884.37878, 3351651.32483","4883968.96594, 3501968.32857",179231.717606588
"10","1","10","6","1","1","0","4614058.9624, 3325577.80191","4883968.96594, 3501968.32857",179231.717606588
"11","1","11","7","0","1","0","4611756.73758, 3306808.5988","4883968.96594, 3501968.32857",179231.717606588
"29","2","4","8","0","0","0","4641854.24898, 3466565.83617","4883968.96594, 3501968.32857",4095.00513169632
"30","2","5","9","0","0","0","4634385.19143, 3451455.95926","4883968.96594, 3501968.32857",167485.743351015
"31","2","6","10","1","1","0","4633968.96594, 3426968.32857","4883968.96594, 3501968.32857",179231.717606588
"32","2","7","11","1","1","0","4633968.96594, 3401968.32857","4883968.96594, 3501968.32857",179231.717606588
"33","2","8","12","1","1","0","4633968.96594, 3376968.32857","4883968.96594, 3501968.32857",179231.717606588
"34","2","9","13","1","1","0","4633968.96594, 3351968.32857","4883968.96594, 3501968.32857",179231.717606588
"35","2","10","14","1","0","0","4633968.96594, 3326968.32857","4883968.96594, 3501968.32857",179231.717606588
"36","2","11","15","1","1","0","4634617.55995, 3302707.77839","4883968.96594, 3501968.32857",179231.717606588
"37","2","12","16","1","1","0","4638218.0155, 3276967.64184","4883968.96594, 3501968.32857",179231.717606588
"38","2","13","17","1","1","0","4639214.13437, 3255092.02805","4883968.96594, 3501968.32857",179231.717606588
"39","2","14","18","0","1","0","4644615.02398, 3226391.35416","4883968.96594, 3501968.32857",179231.717606588
"40","2","15","19","1","1","0","4644107.39361, 3201516.48986","4883968.96594, 3501968.32857",182673.884737221
"41","2","16","20","1","1","0","4644262.82295, 3185733.55768","4883968.96594, 3501968.32857",182673.884737221
"54","3","4","21","0","0","0","4660946.00189, 3470904.68265","4883968.96594, 3501968.32857",4095.00513169632
"55","3","5","22","0","1","0","4658968.96594, 3451968.32857","4883968.96594, 3501968.32857",167485.743351015
