gridsize,road_mean_rel_error,rail_mean_rel_error,water_mean_rel_error
5.0,67.34740453542943,57.22478052076039,31.411407264772237
10.0,61.839982136804686,51.18315405217166,26.994462018773376
15.0,58.44391455278317,49.619664495814426,29.638757650527566
20.0,57.18703130905293,45.94169355635518,29.777383566489082
25.0,54.76486799702866,44.19351482335962,23.04244671323491
30.0,50.81468509409537,41.81651893378634,40.967392987403755
35.0,44.34439485907935,42.90430703704382,25.910333525696263
40.0,50.96071591473409,43.534938398006666,25.805473867596287
45.0,50.251149339733956,42.581017467159285,15.830830696914791
50.0,50.36080401252517,41.18721017153007,26.935658544278922
